Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Cape Verde,Country_China,Country_Colombia,Country_Croatia,Country_Czechia,Country_Denmark,Country_Ecuador,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Serbia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Uruguay,Country_nan
José Pedro Corredoura,26,70,Unambitious,3348,2.0,2036-06-30,2900.0,,Türkiye (1. League),Turkish 1. League,2032-08-01,3.1,6,14,17,15,5,14,15,13,15,6,11,13,12,17,14,13,3,12,14,7,13,14,6,13,12,13,6,6,1,3,7,3,16,11,2,6,,6.88,18,Not set,- - -,18,0,Türkiye,542.0,23.571526351813826,2.428473648186174,2.0,435.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Joseph Pacheco,23,71,Iron Willed,4279,15.0,2037-06-30,31000.0,4.4,Belgium (Jupiler Pro League),Jupiler Pro League,2033-01-26,3.4,9,14,15,12,9,13,15,10,14,5,15,10,13,15,15,16,11,14,13,12,14,16,6,16,16,13,10,8,3,4,5,2,16,10,8,8,,6.90,5 (19),Not set,- - -,24,0,Belgium,907.0,21.05886379192334,1.9411362080766599,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gilberto Paniagua,22,73,Realist,6471,105.5,2038-06-30,98000.0,1.0,Italy (Serie A),Italian Serie A,2033-07-20,1.0,13,16,10,13,11,13,14,14,14,11,17,13,13,16,13,13,16,13,15,16,13,12,11,14,14,17,18,14,1,8,8,7,16,12,15,8,nEU,6.97,5 (14),Not set,- - -,19,0,Italy,1272.0,20.53798767967146,1.462012320328542,2.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Eduardo Sanchez,23,75,Spirited,6147,41.0,2037-06-30,110000.0,0.95,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-01-02,0.9,12,14,14,14,12,14,14,9,14,9,10,13,12,15,12,15,15,9,13,15,14,14,9,12,13,16,16,13,3,9,5,6,14,11,12,8,,7.09,25,Not set,- - -,25,0,Saudi Arabia,907.0,20.99315537303217,2.00684462696783,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Volkan Kaya,26,69,Resolute,2620,0.235,2038-06-30,2600.0,0.165,Türkiye (1. League),Turkish 1. League,2034-07-09,0.625,7,13,6,15,1,12,15,9,13,1,2,8,10,15,15,11,9,14,12,9,12,15,4,13,12,14,8,5,1,3,9,1,13,9,2,6,,6.80,18,Not set,- - -,18,0,Türkiye,1272.0,25.50718685831622,0.4928131416837782,4.0,435.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Alejandro Amores,24,72,Fairly Professional,2743,0.6599999999999999,2037-06-30,3300.0,1.6,Spain (Second Division),Spanish Second Division,2033-06-15,1.2,9,9,8,12,6,13,17,10,12,6,9,9,14,12,15,12,13,15,13,13,13,15,9,14,12,12,8,7,1,4,12,2,16,12,3,13,,6.74,20,Not set,- - -,20,0,Spain,907.0,22.442162902121833,1.5578370978781657,4.0,447.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Johann Aponza,26,69,Resolute,2734,0.0,,,,Colombia (Third Division),Colombian Third Division,2033-05-31,0.7,6,10,7,14,4,12,9,15,9,4,15,6,8,15,9,14,6,10,13,5,9,13,3,13,11,12,5,5,2,4,3,4,10,6,4,5,Ama,7.33,40,Not set,- - -,40,0,Colombia,,24.40109514031485,1.5989048596851472,4.0,169.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tiziano Dornell,29,69,Balanced,3491,1.3,2035-12-31,18500.0,2.0,Argentina (Premier Division),Argentine Premier Division,2033-01-08,1.8,11,15,6,15,8,15,14,7,14,10,8,9,10,8,14,10,6,13,10,10,9,15,6,7,14,13,15,10,3,8,5,6,14,6,4,9,Wnt,-,-,By request,- - -,0,1,Argentina,360.0,27.00958247775496,1.9904175222450375,3.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sean Nilsen-Modebe,27,74,Resolute,2955,0.77,2037-06-30,9250.0,0.725,Netherlands (Eredivisie),Eredivisie,2034-07-24,2.3,10,12,9,14,9,12,12,10,12,7,11,10,10,15,13,14,17,12,13,12,14,12,7,11,13,12,13,11,3,5,8,6,11,9,12,8,,6.71,15 (2),Not set,- - -,17,0,Netherlands,907.0,26.548254620123203,0.4517453798767967,4.0,495.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Carlos Castro,24,72,Resolute,3012,1.85,2036-12-31,8500.0,1.3,Norway (Premier Division),Norwegian Premier Division,2034-01-09,1.5,12,14,8,10,6,12,14,13,15,7,9,9,11,15,16,12,13,16,12,11,14,14,6,12,9,11,7,7,3,2,3,6,16,11,5,8,,6.67,4 (22),Not set,- - -,26,0,Norway,726.0,23.01163586584531,0.9883641341546886,4.0,487.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ovidiu Niculae,24,73,Light-Hearted,6549,17.75,2038-06-30,42000.0,7.0,France (Ligue 2 BKT),Ligue 2 BKT,2034-06-10,7.0,9,14,8,14,3,13,16,8,13,4,8,11,11,12,16,13,12,16,14,12,17,13,9,16,14,12,9,9,2,1,11,1,15,13,6,13,,7.06,18,Not set,- - -,18,0,France,1272.0,23.42778918548939,0.5722108145106092,3.0,450.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aleksey Zarubin,24,72,Professional,4208,23.0,2039-06-30,46000.0,7.0,Germany (Bundesliga),Bundesliga,2033-07-31,7.0,9,12,8,15,7,12,16,15,14,7,7,13,10,15,17,16,13,14,15,12,16,17,8,16,14,12,9,9,5,6,12,3,15,12,4,11,,6.78,9 (5),Not set,- - -,14,0,Germany,1637.0,22.56810403832991,1.431895961670089,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marcos Coronel,26,69,Determined,3674,11.5,2037-12-31,26000.0,5.75,Brazil (First Division),Brazilian National First Division,2034-05-01,4.7,14,15,9,15,9,15,16,6,13,7,14,14,12,19,16,16,8,12,13,11,13,12,5,12,7,13,5,8,1,7,12,4,15,16,3,3,,-,-,Not set,- - -,0,0,Brazil,1091.0,25.318275154004105,0.6817248459958932,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aníbal Vargas,25,73,Fairly Professional,3951,6.8999999999999995,2037-12-31,17750.0,2.6,Argentina (Premier Division),Argentine Premier Division,2034-07-05,2.6,8,13,6,10,7,12,14,15,17,5,12,8,11,14,16,16,14,16,15,10,16,16,6,15,9,10,14,7,1,4,3,3,14,9,3,9,,-,-,Not set,- - -,0,0,Argentina,1091.0,24.496235455167692,0.5037645448323066,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Adriano,24,72,Resilient,2740,1.255,2036-12-31,2400.0,,Brazil (Second Division),Brazilian National Second Division,2034-01-11,4.1,9,12,8,14,5,11,13,15,13,4,10,8,10,15,12,11,14,13,10,10,13,12,9,11,16,11,13,10,3,5,9,5,13,7,9,6,,-,-,Not set,- - -,0,0,Brazil,726.0,23.017111567419576,0.9828884325804244,4.0,446.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rafael,25,69,Resolute,6722,171.0,2039-06-30,205000.0,15.25,England (Premier Division),English Premier Division,2034-04-28,15.25,10,17,10,13,13,15,14,7,15,11,11,15,14,15,19,17,4,17,15,13,16,16,11,17,14,13,11,12,10,9,7,6,15,16,7,17,,7.30,25 (2),Not set,- - -,27,0,England,1637.0,24.310061601642712,0.6899383983572895,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Élton Fernandes,25,71,Fairly Determined,3641,8.3,2036-06-30,14500.0,1.2,England (Sky Bet Championship),Sky Bet Championship,2031-08-21,1.2,9,13,9,13,8,11,16,13,13,7,12,13,12,15,15,16,11,12,13,12,11,11,7,12,14,13,8,10,1,3,5,1,15,9,5,6,,6.81,7 (5),Not set,- - -,12,0,England,542.0,21.62422997946612,3.375770020533881,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
George Ilenikhena,28,73,Balanced,5567,13.25,2037-06-30,14500.0,5.5,Belgium (Jupiler Pro League),Jupiler Pro League,2034-03-16,5.5,9,14,13,15,10,12,13,9,14,10,9,9,12,14,12,12,14,13,12,12,15,14,4,15,14,15,12,10,5,8,5,7,13,12,6,8,,7.03,29,Not set,- - -,29,0,Belgium,907.0,27.19233401779603,0.8076659822039699,3.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gregoire Ferre,26,70,Driven,3664,28.0,2038-06-30,29000.0,7.25,England (Sky Bet Championship),Sky Bet Championship,2033-09-01,6.0,14,13,8,15,7,12,16,10,15,7,8,10,13,18,16,16,6,13,17,13,15,14,7,16,13,13,14,9,1,3,10,4,14,12,3,12,,6.85,25 (1),Not set,- - -,26,0,England,1272.0,24.65571526351814,1.3442847364818618,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jean-Mattéo Bahoya,29,71,Resolute,5067,14.75,2036-06-30,57000.0,6.75,Germany (Bundesliga),Bundesliga,2032-06-15,9.5,10,12,11,13,15,13,13,10,14,10,12,15,11,15,14,12,12,14,14,11,15,15,9,13,13,13,10,12,4,7,7,5,13,12,9,11,Wnt,6.79,2 (6),Not set,- - -,8,0,Germany,542.0,26.44284736481862,2.5571526351813825,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Okan Akkaya,24,70,Fickle,3073,3.3,2036-06-30,9500.0,0.9,Türkiye (Super League),Turkish Super League,2032-01-15,0.9,8,11,7,13,6,12,10,14,15,3,9,11,13,15,16,17,7,14,15,11,17,12,4,16,15,13,9,9,2,3,7,1,13,11,3,9,,6.92,3 (3),Not set,- - -,6,0,Türkiye,542.0,21.026694045174537,2.973305954825462,2.0,492.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False
Mariano Díaz,24,69,Resolute,3178,0.9349999999999999,2035-06-30,9250.0,3.1,England (Sky Bet Championship),Sky Bet Championship,2032-09-01,5.25,13,13,6,13,3,10,15,17,12,5,11,10,15,15,16,15,4,13,14,10,12,15,8,13,13,15,10,9,1,3,6,1,14,13,5,12,Wnt,6.84,6 (17),Not set,- - -,23,0,England,176.0,21.65639972621492,2.3436002737850785,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Will Anderson,26,70,Fairly Determined,6857,27.0,2038-06-30,69000.0,19.0,Italy (Serie A),Italian Serie A,2034-07-01,17.75,13,11,9,14,9,14,14,9,16,10,12,12,10,15,16,12,9,15,14,12,16,16,5,12,15,12,10,8,2,7,1,6,14,12,6,10,,6.60,2 (14),Not set,- - -,16,0,Italy,1272.0,25.485284052019164,0.5147159479808351,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rune Blikstad,26,78,Fickle,3326,7.4,2037-06-30,9250.0,2.0,England (Sky Bet Championship),Sky Bet Championship,2034-08-20,1.4,10,14,11,13,10,14,11,12,13,8,14,11,10,15,12,12,19,13,14,13,13,13,3,9,13,13,11,8,2,9,4,7,12,9,6,11,ESC,6.80,25 (1),Not set,- - -,26,0,England,907.0,25.62217659137577,0.37782340862423,2.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oscar Crespín,21,72,Fairly Professional,3127,18.0,2038-06-30,5500.0,4.3,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-01-16,1.7,12,12,10,11,9,10,13,5,12,6,16,11,14,13,16,13,12,15,15,10,13,14,8,12,13,14,9,7,5,8,4,3,10,14,8,13,,6.97,0 (6),Not set,- - -,6,0,France,1272.0,20.030800821355236,0.9691991786447639,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Henrik Koch,28,71,Driven,3489,3.1,2037-06-30,35000.0,1.7,Germany (Bundesliga),Bundesliga,2033-03-07,3.3,5,12,10,13,6,13,13,5,13,7,8,10,12,19,13,12,12,15,12,9,17,14,11,16,16,16,12,9,1,7,7,6,14,12,6,12,Wnt,6.65,0 (4),Listed,- - -,4,1,Germany,907.0,26.168377823408623,1.8316221765913758,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Steve Hughes,25,71,Light-Hearted,5876,11.25,2038-06-30,74000.0,10.25,U.A.E. (Pro League),UAE Professional League,2034-07-05,9.0,10,14,9,14,10,12,16,11,17,6,15,14,16,15,13,14,11,15,14,13,13,14,13,15,14,13,7,17,4,6,13,5,16,16,9,11,Wnt,7.57,26,Not set,- - -,26,0,U.A.E.,1272.0,24.496235455167692,0.5037645448323066,3.0,452.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False
Soufyan Herder,19,72,Fairly Professional,2403,11.55,2039-06-30,26000.0,7.25,England (Premier Division),English Premier Division,2034-09-01,5.25,13,12,7,13,8,12,12,6,17,8,11,11,13,14,12,12,13,11,16,12,13,15,7,16,13,12,7,10,6,6,11,9,15,12,7,8,Loa,6.70,0 (2),Not set,- - -,2,0,England,1637.0,18.655030800821354,0.34496919917864477,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jan Bellard,25,72,Fickle,6345,50.0,2037-06-30,300000.0,50.0,England (Premier Division),English Premier Division,2033-08-06,41.0,10,14,4,15,8,15,16,15,14,8,9,11,11,13,16,15,13,17,14,12,14,15,8,15,17,17,14,9,3,7,12,7,16,15,12,8,,7.05,9 (8),Not set,- - -,17,0,England,907.0,23.584531143052704,1.4154688569472964,2.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kevin Aguilar,25,68,Fairly Determined,5005,29.5,2036-06-30,29500.0,3.2,England (Premier Division),English Premier Division,2033-09-01,7.0,9,12,8,17,10,14,17,10,14,7,11,13,11,15,16,13,3,14,12,11,14,14,8,14,14,15,8,12,4,8,10,2,16,14,11,11,,6.87,12 (1),Not set,- - -,13,0,England,542.0,23.65571526351814,1.3442847364818618,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Munyaradzi Shoko,24,73,Ambitious,4543,63.5,2038-06-30,67000.0,3.3,England (Premier Division),English Premier Division,2034-01-31,13.5,15,12,11,14,7,11,15,7,15,7,13,14,12,15,16,17,14,15,15,12,15,15,10,17,13,16,16,10,4,8,10,4,16,12,15,10,,6.94,21 (1),Not set,- - -,22,0,England,1272.0,23.071868583162217,0.9281314168377823,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pablo González,21,70,Resolute,2484,0.77,2037-12-31,1100.0,1.2,Argentina (Premier Division),Argentine Premier Division,2033-12-11,0.975,11,13,10,13,10,13,15,6,16,6,8,12,10,15,14,15,10,11,11,9,11,11,10,13,13,14,9,14,2,1,12,4,16,9,5,9,,-,-,Not set,- - -,0,0,Argentina,1091.0,19.93223819301848,1.0677618069815196,4.0,490.0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ralf Voglsammer,24,73,Fairly Professional,4263,9.4,2036-06-30,10750.0,2.6,England (Sky Bet Championship),Sky Bet Championship,2034-08-01,3.8,9,12,6,15,9,13,14,8,15,10,11,17,10,10,15,12,12,12,15,10,13,12,6,14,12,12,8,12,4,9,3,7,16,12,5,9,,6.88,19 (6),Not set,- - -,25,0,England,542.0,23.57015742642026,0.42984257357973993,4.0,480.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
