Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Cyprus,Country_DR Congo,Country_Denmark,Country_England,Country_Finland,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Federico Valverde,36,72,Perfectionist,9370,1.1,2035-06-30,325000.0,17.25,Italy (Serie A),Italian Serie A,2034-04-05,17.5,12,14,15,13,12,14,15,14,13,12,16,14,16,15,11,12,11,10,11,8,18,11,13,8,13,14,11,16,9,13,14,13,14,17,12,13,,6.70,2 (8),Not set,- - -,10,0,Italy,176.0,35.24709103353867,0.7529089664613279,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aurélien Tchouameni,34,74,Spirited,9344,7.0,2035-06-30,1300000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-01,86.0,16,17,16,16,16,16,15,12,13,15,14,15,16,16,12,14,14,12,14,13,17,13,10,10,8,16,14,13,8,16,9,17,14,17,12,12,,7.42,27 (1),Not set,- - -,28,0,Saudi Arabia,176.0,32.48596851471595,1.514031485284052,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Robenílson,26,69,Light-Hearted,9295,162.0,2039-06-30,375000.0,169.0,England (Premier Division),English Premier Division,2034-08-27,153.0,14,15,10,15,10,17,16,10,16,12,16,16,17,15,15,14,5,14,16,14,13,15,7,16,12,16,10,10,5,11,10,9,16,16,9,9,,7.34,9 (9),Not set,- - -,18,0,England,1637.0,25.641341546885695,0.3586584531143053,3.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Noah Darvich,28,72,Professional,9295,219.0,2038-06-30,525000.0,2.1,Spain (First Division),Spanish First Division,2033-08-06,2.1,8,15,9,17,14,15,17,15,16,12,12,17,12,14,17,15,13,16,14,14,16,16,15,16,13,16,9,13,6,12,16,8,16,16,14,14,,7.83,20,Not set,- - -,20,0,Spain,1272.0,26.584531143052704,1.4154688569472964,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Frenkie de Jong,37,71,Resolute,9273,0.7,2035-06-30,200000.0,5.75,England (Premier Division),English Premier Division,2034-04-02,80.0,9,18,10,16,16,16,16,13,15,16,16,18,14,15,10,13,10,8,6,6,15,8,12,9,11,17,9,9,5,12,17,12,18,17,13,13,Wnt,6.50,0 (2),Listed,- - -,2,1,England,176.0,36.238877481177276,0.7611225188227242,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Pablo Torre,31,68,Spirited,9179,,2036-06-30,250000.0,44.5,England (Premier Division),English Premier Division,2033-01-27,62.0,12,15,14,16,13,16,17,13,15,11,12,18,13,14,16,13,6,13,13,11,14,15,15,13,13,16,7,12,5,10,16,10,16,17,15,14,,7.18,21,Not set,- - -,21,0,England,542.0,29.06160164271047,1.9383983572895278,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Can Uzun,29,73,Fairly Determined,9130,83.5,2037-06-30,160000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-07-01,34.0,13,15,9,15,15,15,17,11,16,12,12,17,12,15,17,14,13,14,13,12,14,15,13,17,14,15,12,13,6,10,15,8,16,16,16,10,,6.98,19,Not set,- - -,19,0,France,907.0,27.48596851471595,1.514031485284052,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ethan Nwaneri,27,67,Fairly Professional,9075,106.0,2038-06-30,275000.0,0.0,England (Premier Division),English Premier Division,2034-08-01,0.675,11,14,9,15,12,14,16,11,15,9,12,16,14,14,18,14,5,16,14,11,15,17,12,16,14,14,7,13,4,8,8,9,16,16,5,14,Inj,6.94,11 (14),Not set,- - -,25,0,England,1272.0,26.57015742642026,0.42984257357973993,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hugo Larsson,30,74,Professional,9075,111.5,2036-06-30,250000.0,82.0,England (Premier Division),English Premier Division,2032-02-22,81.0,12,16,13,14,15,15,14,15,15,15,13,16,16,16,17,16,14,15,16,13,17,15,12,12,11,16,9,12,7,13,12,14,15,15,12,13,,6.93,24 (1),Not set,- - -,25,0,England,542.0,27.130732375085557,2.869267624914442,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Vitinha,34,68,Spirited,9064,,2036-06-30,145000.0,5.5,Spain (First Division),Spanish First Division,2034-12-27,41.0,13,17,15,17,14,16,14,13,16,16,16,17,15,14,15,15,5,12,13,9,15,13,12,13,9,17,6,14,8,13,10,13,16,17,12,11,,7.08,18,Not set,- - -,18,0,Spain,542.0,33.97535934291581,0.024640657084188913,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sandro Tonali,34,71,Resolute,9030,5.6,2035-06-30,215000.0,55.0,England (Premier Division),English Premier Division,2034-01-06,72.0,15,16,16,15,16,15,14,15,15,15,16,16,16,16,13,14,10,12,12,10,15,10,15,11,9,17,9,12,9,15,12,16,16,15,13,13,Wnt,7.04,20,Not set,- - -,20,0,England,176.0,33.00342231348392,0.9965776865160849,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gavi,30,69,Perfectionist,9019,199.5,2037-06-30,375000.0,69.0,England (Premier Division),English Premier Division,2034-07-08,62.0,19,15,19,14,15,15,17,15,16,12,14,16,17,18,17,15,5,14,13,12,17,14,11,12,11,15,7,10,7,12,11,12,14,17,9,13,,7.26,20 (2),Not set,- - -,22,0,England,907.0,29.50444900752909,0.49555099247091033,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oscar Gloukh,30,67,Spirited,8910,92.0,2036-06-30,140000.0,17.25,England (Premier Division),English Premier Division,2030-10-26,21.5,7,15,13,18,13,14,16,13,16,10,12,16,12,15,16,14,4,13,14,10,15,14,12,14,12,15,9,12,6,8,12,7,15,16,13,13,Wnt,7.28,25,Not set,- - -,25,0,England,542.0,25.80561259411362,4.1943874058863795,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paul Wanner,29,73,Fairly Ambitious,8910,129.5,2037-06-30,175000.0,54.0,Italy (Serie A),Italian Serie A,2033-02-28,56.0,8,15,10,17,14,14,17,9,16,13,13,17,13,13,17,15,15,15,13,12,13,14,13,13,11,15,8,12,9,11,16,8,17,16,11,14,,7.37,20,Not set,- - -,20,0,Italy,907.0,27.1492128678987,1.8507871321013005,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Manu Koné,33,73,Spirited,8901,15.0,2036-06-30,245000.0,,England (Premier Division),English Premier Division,2035-01-03,60.0,17,15,16,15,14,15,17,9,14,14,13,17,17,16,15,16,13,14,14,14,15,12,6,15,11,15,12,12,6,14,6,15,17,16,10,12,,6.87,11 (12),Not set,- - -,23,0,England,542.0,32.99452429842574,0.0054757015742642025,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alex Scott,31,70,Determined,8852,,2036-06-30,275000.0,25.0,England (Premier Division),English Premier Division,2032-07-28,25.0,12,16,12,17,12,15,16,12,17,15,13,17,15,18,16,16,7,15,15,12,13,15,7,14,12,15,10,10,4,11,10,13,15,15,7,12,,7.19,20 (3),Not set,- - -,23,0,England,542.0,28.560574948665298,2.439425051334702,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dominik Szoboszlai,34,73,Perfectionist,8792,14.0,2035-06-30,175000.0,20.5,Spain (First Division),Spanish First Division,2034-08-02,93.0,12,13,12,16,12,13,17,13,14,10,13,15,15,16,11,12,12,13,13,9,15,12,16,11,11,14,6,14,4,10,16,10,16,17,16,14,,6.84,1 (20),Not set,- - -,21,0,Spain,176.0,33.572895277207394,0.4271047227926078,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Billy Gilmour,33,67,Resolute,8787,,2036-06-30,800000.0,23.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-23,93.0,11,16,13,17,14,15,12,14,16,15,14,17,13,15,12,13,5,12,11,7,15,12,12,11,10,15,6,10,4,10,12,12,16,17,14,9,,7.48,27,Not set,- - -,27,0,Saudi Arabia,542.0,32.54551676933607,0.4544832306639288,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Nico González,33,74,Professional,8786,,2036-06-30,225000.0,99.0,Germany (Bundesliga),Bundesliga,2034-04-06,85.0,13,16,12,16,13,14,16,13,13,16,12,16,14,14,14,16,14,14,14,15,16,13,8,12,9,16,12,11,4,13,8,13,15,15,10,11,,7.07,22,Not set,- - -,22,0,Germany,542.0,32.2498288843258,0.7501711156741958,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Xavi Simons,31,70,Professional,8746,89.5,2036-06-30,250000.0,35.5,Germany (Bundesliga),Bundesliga,2033-10-09,41.0,15,15,12,16,12,13,16,12,14,10,12,15,13,17,16,12,8,15,13,10,16,15,11,14,14,15,9,12,4,8,13,9,16,15,13,12,Wnt,7.21,15,Not set,- - -,15,0,Germany,542.0,29.75975359342916,1.2402464065708418,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nicolò Rovella,33,70,Resolute,8652,,2036-06-30,425000.0,14.5,Italy (Serie A),Italian Serie A,2034-07-20,30.0,14,16,13,13,16,14,15,14,14,16,14,17,15,16,15,13,7,14,14,12,16,12,14,9,9,16,8,12,3,12,12,17,15,17,12,13,,6.98,20 (3),Not set,- - -,23,0,Italy,542.0,32.53730321697468,0.46269678302532513,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Veloso,29,73,Spirited,8635,239.5,2038-06-30,300000.0,63.0,England (Premier Division),English Premier Division,2032-12-28,70.0,10,15,11,15,13,15,17,11,15,13,12,17,14,15,16,14,14,16,15,14,16,15,11,12,12,16,9,13,3,12,14,12,16,16,11,11,,7.33,22 (2),Not set,- - -,24,0,England,1272.0,26.979466119096507,2.020533880903491,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
André,33,70,Fairly Professional,8633,43.0,2036-06-30,300000.0,,Italy (Serie A),Italian Serie A,2032-06-19,16.5,13,16,13,14,14,15,13,14,14,16,14,16,14,14,15,15,7,13,13,13,16,13,8,12,9,16,11,11,9,15,8,14,15,15,11,9,Wnt,6.96,13 (1),Not set,- - -,14,0,Italy,542.0,30.453798767967147,2.546201232032854,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alan Varela,33,69,Fairly Loyal,8617,37.5,2035-06-30,275000.0,21.5,Italy (Serie A),Italian Serie A,2034-08-09,68.0,13,15,14,14,14,15,16,14,15,15,15,16,15,14,13,14,6,11,11,10,17,12,5,10,7,16,8,12,2,14,9,14,16,16,13,8,nEU,6.74,6 (15),Not set,- - -,21,0,Italy,176.0,32.592060232717316,0.4079397672826831,3.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kai Havertz,35,75,Fairly Professional,8614,1.125,2035-06-30,44500.0,,Germany (Bundesliga),Bundesliga,2034-07-12,217.0,11,16,11,13,10,13,16,8,16,12,14,16,14,10,10,12,14,10,7,8,17,10,11,9,12,17,13,10,7,8,12,11,15,16,12,12,Ret,6.99,17,Not set,- - -,17,0,Germany,176.0,34.51540041067762,0.48459958932238195,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabri Veiga,32,72,Balanced,8580,,2036-06-30,190000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-16,93.0,14,16,14,16,12,14,15,11,16,12,13,18,16,14,15,13,13,13,15,12,14,13,12,12,15,15,11,14,6,11,11,11,16,15,8,12,,7.91,23 (1),Not set,- - -,24,0,Saudi Arabia,542.0,31.526351813826146,0.4736481861738535,3.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Orkun Kökçü,34,69,Fairly Ambitious,8572,5.25,2035-06-30,42000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-08-06,44.5,7,12,10,17,12,16,15,15,14,10,12,17,13,14,10,13,7,10,10,9,16,10,15,10,13,15,7,15,8,10,14,7,16,16,16,15,,7.31,29,Not set,- - -,29,0,Saudi Arabia,176.0,33.58384668035592,0.4161533196440794,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Edoardo Bove,32,69,Model Citizen,8571,,2036-06-30,180000.0,30.0,Italy (Serie A),Italian Serie A,2034-01-04,36.5,14,17,16,15,13,14,14,10,15,14,15,14,17,17,16,14,7,14,13,15,17,14,8,11,12,14,9,10,4,12,6,15,14,15,9,10,,7.21,20,Not set,- - -,20,0,Italy,542.0,30.99794661190965,1.002053388090349,0.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Neves,30,69,Resolute,8567,79.5,2037-06-30,235000.0,58.0,England (Premier Division),English Premier Division,2034-01-19,50.0,17,14,16,14,17,15,15,13,14,14,13,15,16,17,16,15,11,15,15,13,17,14,12,13,12,14,12,12,11,12,10,12,14,15,11,12,,6.93,17 (8),Not set,- - -,25,0,England,907.0,29.039014373716633,0.9609856262833676,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oscar Bobb,31,69,Fairly Professional,8546,,2036-06-30,275000.0,25.0,Italy (Serie A),Italian Serie A,2034-10-01,25.0,12,15,11,16,14,14,16,10,15,13,13,16,14,13,14,13,7,14,12,8,15,14,14,14,12,16,7,11,5,8,14,6,15,15,10,13,,7.14,16,Not set,- - -,16,0,Italy,542.0,30.737166324435318,0.26283367556468173,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Javi Guerra,31,74,Resolute,8525,46.5,2037-06-30,125000.0,52.0,Italy (Serie A),Italian Serie A,2033-09-01,157.0,11,13,13,15,13,15,14,13,14,12,14,16,14,15,15,14,14,14,14,13,15,14,10,13,12,16,9,14,6,9,10,9,14,14,13,12,Ask,7.18,22 (1),Not set,- - -,23,0,Italy,907.0,29.65571526351814,1.3442847364818618,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quinten Timber,33,70,Ambitious,8503,,2036-06-30,650000.0,28.5,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-27,114.0,8,16,13,16,13,16,13,12,12,14,14,13,14,16,14,14,10,12,12,13,15,12,4,11,8,15,9,8,5,12,10,13,15,15,9,9,,7.74,30,Not set,- - -,30,0,Saudi Arabia,542.0,32.5564681724846,0.44353182751540043,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Samuele Ricci,33,71,Resolute,8396,15.25,2036-06-30,140000.0,46.0,Italy (Serie A),Italian Serie A,2034-04-12,42.5,12,16,14,17,14,14,14,13,14,15,13,16,14,16,12,15,12,13,13,10,15,14,8,11,8,14,8,12,6,11,9,14,16,16,8,11,,6.78,2 (19),Not set,- - -,21,0,Italy,542.0,32.266255989048595,0.7337440109514032,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mason Mount,35,71,Driven,8389,0.7,2035-06-30,94000.0,55.0,England (Premier Division),English Premier Division,2034-01-09,55.0,15,14,15,15,12,14,14,11,16,14,17,12,19,18,9,9,8,12,13,7,15,11,14,8,14,15,7,10,3,7,13,12,14,13,15,12,Ret,6.84,2 (11),Listed,- - -,13,1,England,176.0,34.011635865845314,0.9883641341546886,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
