Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Croatia,Country_Czechia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_N.Ireland,Country_Netherlands,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_nan
Piero Hincapié,32,72,Resolute,9014,,2036-06-30,190000.0,5.5,Germany (Bundesliga),Bundesliga,2034-07-21,6.75,16,17,17,14,17,14,12,14,12,16,12,13,16,17,15,14,14,15,14,15,15,15,3,11,6,13,13,7,13,16,5,15,14,15,8,10,,7.00,24,Not set,- - -,24,0,Germany,542.0,31.540041067761805,0.459958932238193,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Exequiel Giménez,26,67,Spirited,8965,215.5,2039-06-30,450000.0,6.25,England (Premier Division),English Premier Division,2034-11-16,6.25,12,15,10,14,11,14,17,16,14,12,14,14,11,15,19,15,4,14,15,10,14,15,5,12,15,15,9,10,8,7,8,5,14,11,8,15,,7.20,24,Not set,- - -,24,0,England,1637.0,25.863107460643395,0.13689253935660506,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jurriën Timber,33,70,Resolute,8910,23.0,2036-06-30,230000.0,26.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-01-31,99.0,13,14,14,14,17,16,12,12,13,16,15,12,15,16,12,12,12,11,11,11,13,12,3,8,6,14,12,7,6,14,8,13,15,16,7,9,,6.68,1 (8),Not set,- - -,9,0,France,542.0,32.07186858316222,0.9281314168377823,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jorrel Hato,28,74,Fairly Professional,8855,166.5,2038-06-30,275000.0,69.0,Italy (Serie A),Italian Serie A,2033-08-27,50.0,13,15,14,16,16,16,13,14,13,16,14,13,13,14,15,15,16,14,14,14,16,14,10,11,7,12,12,12,13,14,7,14,14,12,9,15,,6.94,18 (4),Not set,- - -,22,0,Italy,1272.0,26.642026009582477,1.3579739904175223,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mohamed Simakan,34,74,Resolute,8760,,2036-06-30,110000.0,,Saudi Arabia (First Division),Saudi First Division League,2034-07-01,118.0,13,15,16,15,15,13,12,12,11,15,13,12,13,16,11,14,13,11,10,10,14,11,3,11,8,13,13,7,12,15,3,15,12,14,5,13,,7.77,29,Not set,- - -,29,0,Saudi Arabia,542.0,33.48528405201917,0.5147159479808351,4.0,387.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Yan Couto,32,67,Balanced,8653,17.0,2035-06-30,210000.0,36.0,Germany (Bundesliga),Bundesliga,2033-07-13,42.5,11,15,12,13,14,14,15,10,14,13,13,14,13,13,16,15,3,13,12,10,15,12,12,13,10,15,7,10,11,13,11,10,15,15,9,16,Bid,6.92,21,Not set,- - -,21,0,Germany,176.0,30.518822724161534,1.4811772758384667,3.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lutsharel Geertruida,34,72,Light-Hearted,8652,2.35,2035-06-30,250000.0,19.0,Spain (First Division),Spanish First Division,2033-07-30,78.0,12,15,14,15,17,12,9,14,14,14,13,13,15,15,14,14,13,12,12,11,17,11,10,7,8,14,13,13,12,13,11,13,14,15,8,9,Bid,7.00,16 (2),Listed,- - -,18,1,Spain,176.0,32.56536618754278,1.434633812457221,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Amar Dedić,32,71,Fairly Determined,8632,30.5,2035-06-30,215000.0,57.0,England (Premier Division),English Premier Division,2029-08-11,88.0,10,16,12,14,15,14,9,17,14,15,13,13,15,17,15,14,11,15,12,13,16,15,6,11,8,15,10,10,10,15,7,13,14,14,8,15,Bid,6.98,21,Not set,- - -,21,0,England,176.0,26.598220396988363,5.401779603011636,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tino Livramento,32,73,Fairly Determined,8610,84.5,2036-06-30,165000.0,32.0,England (Premier Division),English Premier Division,2034-06-30,37.0,12,16,12,12,14,14,12,12,13,13,12,11,13,15,14,14,12,14,14,13,15,15,7,12,7,14,10,5,10,13,7,14,14,14,8,15,,6.96,18,Not set,- - -,18,0,England,542.0,31.482546201232033,0.5174537987679672,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Odilon Kossounou,34,75,Resolute,8598,,2036-06-30,925000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-01,84.0,13,16,14,14,16,14,12,11,11,13,14,13,14,16,11,15,16,16,10,12,14,12,3,10,5,14,13,6,12,15,3,14,13,15,5,9,Inj,7.63,30,Not set,- - -,30,0,Saudi Arabia,542.0,33.48528405201917,0.5147159479808351,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Matteo Ruggeri,32,70,Resolute,8525,30.0,2035-06-30,725000.0,26.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-08-08,117.0,11,14,12,14,16,14,9,10,15,16,14,12,15,15,17,14,9,15,15,13,17,14,12,10,7,14,7,11,7,13,12,13,13,13,6,16,,7.56,20 (1),Not set,- - -,21,0,Saudi Arabia,176.0,30.590006844626966,1.4099931553730323,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Nicolas Monteil,26,70,Resolute,8508,44.5,2039-06-30,105000.0,23.0,Spain (First Division),Spanish First Division,2034-08-29,61.0,8,16,17,11,15,14,11,13,13,15,12,15,15,15,17,14,8,16,18,13,16,15,8,12,6,13,9,9,12,14,3,13,14,13,5,13,Inj,6.89,12 (4),Not set,- - -,16,0,Spain,1637.0,25.64681724845996,0.3531827515400411,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jeremie Frimpong,34,68,Fairly Ambitious,8503,4.075,2035-06-30,275000.0,67.0,England (Premier Division),English Premier Division,2033-12-06,76.0,13,14,13,13,12,14,16,9,16,12,13,13,15,14,14,13,6,14,12,8,17,14,7,12,11,13,6,8,8,12,10,12,15,13,8,15,,6.82,6 (8),Not set,- - -,14,0,England,176.0,32.91854893908282,1.08145106091718,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bafodé Diakité,33,73,Resolute,8489,,2036-06-30,115000.0,2.6,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-06-08,2.6,12,16,13,14,16,14,12,14,14,14,13,12,14,15,14,14,14,12,13,13,15,14,5,9,11,13,15,8,14,16,4,14,12,15,9,13,,7.31,19,Not set,- - -,19,0,France,542.0,32.422313483915126,0.5776865160848734,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nathan Patterson,33,72,Model Citizen,8468,,2036-06-30,135000.0,49.0,England (Premier Division),English Premier Division,2033-09-01,55.0,12,14,12,14,16,11,9,7,13,14,13,14,15,15,14,14,12,15,17,12,16,14,11,10,11,13,8,11,11,13,5,14,12,13,4,15,,7.07,19,Not set,- - -,19,0,England,542.0,31.65571526351814,1.3442847364818618,0.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Miloš Kerkez,31,69,Perfectionist,8466,56.0,2036-06-30,325000.0,48.0,Italy (Serie A),Italian Serie A,2033-05-09,77.0,15,16,16,14,15,14,14,10,15,12,14,13,17,16,16,16,9,15,15,12,16,15,6,13,7,13,6,10,9,13,8,14,14,13,7,15,Ask,6.88,12 (4),Not set,- - -,16,0,Italy,542.0,29.340862422997947,1.6591375770020533,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Conor Bradley,31,71,Fairly Ambitious,8449,,2036-06-30,115000.0,10.75,Spain (First Division),Spanish First Division,2034-03-09,10.75,13,16,11,14,16,14,12,9,13,16,13,12,14,14,17,16,12,16,14,10,15,16,8,11,10,15,8,8,7,13,6,13,14,14,7,15,,7.31,16,Not set,- - -,16,0,Spain,542.0,30.173169062286107,0.8268309377138946,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Micky van de Ven,33,76,Ambitious,8398,,2036-06-30,775000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-01,37.5,14,13,15,14,14,14,13,15,11,14,13,12,15,17,11,13,15,16,11,14,17,14,2,11,7,12,12,7,13,14,2,13,14,13,5,12,Inj,7.91,28 (1),Not set,- - -,29,0,Saudi Arabia,542.0,32.48528405201917,0.5147159479808351,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Miguel Gutiérrez,33,71,Spirited,8370,18.0,2036-06-30,190000.0,26.0,Italy (Serie A),Italian Serie A,2033-08-04,59.0,12,14,13,14,13,15,14,13,14,12,14,14,12,16,16,14,11,14,13,12,16,14,12,12,11,14,7,8,13,12,7,12,15,16,10,17,,6.93,15 (2),Not set,- - -,17,0,Italy,542.0,31.579055441478438,1.4209445585215605,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lautaro Villegas,26,72,Realist,8257,31.5,2038-06-30,145000.0,25.5,Portugal (Premier League),Portuguese Premier League,2032-07-11,49.0,11,16,13,12,15,17,6,18,12,14,12,11,11,16,17,14,11,16,14,15,16,15,5,9,5,11,9,5,8,14,5,15,9,14,5,9,Wnt,7.10,21,Not set,- - -,21,0,Portugal,1272.0,23.51403148528405,2.485968514715948,2.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Elias Jelert,31,70,Spirited,8195,,2036-06-30,250000.0,51.0,Italy (Serie A),Italian Serie A,2034-07-09,192.0,15,14,15,14,16,14,14,7,14,13,13,14,15,15,16,16,7,15,15,10,16,15,11,13,10,13,9,9,5,13,2,13,14,16,6,13,,7.02,21 (1),Not set,- - -,22,0,Italy,542.0,30.50718685831622,0.4928131416837782,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alan Matturro,30,74,Fairly Determined,8189,36.5,2037-06-30,105000.0,13.5,Spain (First Division),Spanish First Division,2033-04-22,8.25,14,15,12,12,15,14,11,16,13,14,12,13,12,15,12,15,14,14,15,14,15,14,6,12,7,12,14,12,10,14,6,13,12,13,7,12,,7.23,20,Not set,- - -,20,0,Spain,907.0,28.2943189596167,1.7056810403832992,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Vanderson,33,71,Resolute,8157,,2036-06-30,125000.0,9.5,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2035-01-01,9.5,13,14,15,14,14,14,13,10,15,13,14,14,14,15,16,13,10,13,14,11,16,14,8,12,9,15,10,9,7,12,11,14,13,14,9,15,,7.18,20,Not set,- - -,20,0,France,542.0,32.98904859685147,0.010951403148528405,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mika Mármol,33,71,Resolute,8157,10.2,2035-06-30,105000.0,13.0,Italy (Serie A),Italian Serie A,2034-07-13,92.0,13,16,13,16,15,15,12,12,10,14,12,14,12,15,14,15,12,14,12,12,16,14,6,11,8,13,13,7,9,14,6,14,15,15,6,12,,7.00,8 (1),Not set,- - -,9,0,Italy,176.0,32.51813826146475,0.48186173853524983,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mauro Perković,31,73,Resolute,8140,,2036-06-30,200000.0,47.0,Italy (Serie A),Italian Serie A,2034-05-16,45.0,13,17,17,11,16,14,8,12,11,15,14,11,15,15,14,13,14,15,15,15,16,14,3,9,6,11,13,6,12,14,2,15,12,14,7,12,,7.15,22,Not set,- - -,22,0,Italy,542.0,30.359342915811087,0.6406570841889117,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Fabiano Parisi,34,70,Resolute,8130,4.45,2035-06-30,250000.0,17.5,Italy (Serie A),Italian Serie A,2034-08-16,33.5,12,16,13,12,15,14,5,10,14,13,13,14,14,16,13,14,7,13,12,11,16,13,10,14,10,15,7,9,9,13,11,14,15,15,6,14,,6.81,9 (6),Not set,- - -,15,0,Italy,176.0,33.611225188227245,0.3887748117727584,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Victor Kristiansen,32,72,Spirited,8099,20.0,2036-06-30,95000.0,54.0,Italy (Serie A),Italian Serie A,2033-07-23,57.0,16,15,15,13,14,13,13,14,13,15,13,12,14,16,14,13,13,15,16,13,16,14,11,12,9,14,11,10,10,12,10,14,14,13,5,14,Wnt,-,-,By request,- - -,0,1,Italy,542.0,30.546201232032853,1.4537987679671458,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wilfried Singo,34,75,Resolute,8081,1.265,2035-06-30,94000.0,30.5,Spain (First Division),Spanish First Division,2032-01-08,74.0,14,14,11,13,15,13,11,8,13,14,12,12,14,17,13,12,15,14,13,12,15,12,6,12,8,13,13,7,12,12,5,14,14,14,9,12,Wnt,7.40,1 (2),Not set,- - -,3,0,Spain,176.0,31.007529089664615,2.9924709103353866,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cláudio Roberto,24,72,Unsporting,8081,135.0,2038-06-30,275000.0,14.0,England (Premier Division),English Premier Division,2033-06-27,14.0,12,17,19,14,15,16,10,13,12,17,18,13,17,17,14,17,13,14,16,15,12,15,5,10,5,11,12,8,9,15,3,17,11,13,3,7,,7.01,29,Not set,- - -,29,0,England,1272.0,22.475017111567418,1.5249828884325805,2.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tatsuya Kiritani,26,67,Driven,8061,90.0,2038-06-30,175000.0,36.0,Germany (Bundesliga),Bundesliga,2033-07-06,32.5,6,15,13,13,12,14,12,12,14,13,14,12,13,19,18,18,2,17,15,14,13,17,7,13,6,12,10,12,13,14,3,11,14,12,4,15,Int,6.94,22,Not set,- - -,22,0,Germany,1272.0,24.49965776865161,1.5003422313483916,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Emil Holm,34,75,Perfectionist,8042,0.23,2035-06-30,105000.0,,Spain (First Division),Spanish First Division,2033-07-01,45.5,11,13,14,12,15,13,9,8,14,13,13,11,14,14,14,11,15,13,12,11,12,13,6,11,6,12,12,9,7,12,8,12,12,12,3,13,Ret,7.05,0 (2),Listed,- - -,2,1,Spain,176.0,32.48596851471595,1.514031485284052,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Julián Araujo,33,70,Ambitious,8040,,2036-06-30,63000.0,29.5,Spain (First Division),Spanish First Division,2034-12-27,30.5,15,14,16,13,16,14,9,10,13,15,14,11,15,14,14,15,8,14,14,12,15,14,7,11,6,14,10,8,10,12,7,14,14,13,7,14,,7.06,18,Not set,- - -,18,0,Spain,542.0,32.97535934291581,0.024640657084188913,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Quentin Merlin,32,69,Resolute,8030,43.5,2036-06-30,105000.0,25.5,England (Premier Division),English Premier Division,2034-06-30,35.0,11,13,12,13,13,13,13,12,12,14,12,15,13,15,14,15,7,13,14,11,13,13,14,11,12,14,8,13,6,13,10,13,15,14,11,16,,7.12,21,Not set,- - -,21,0,England,542.0,31.482546201232033,0.5174537987679672,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
