Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Argentina,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Denmark,Country_Ecuador,Country_England,Country_France,Country_Germany,Country_Greece,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Can Uzun,29,73,Fairly Determined,9130,83.5,2037-06-30,160000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-07-01,34.0,13,15,9,15,15,15,17,11,16,12,12,17,12,15,17,14,13,14,13,12,14,15,13,17,14,15,12,13,6,10,15,8,16,16,16,10,,6.98,19,Not set,- - -,19,0,France,907.0,27.48596851471595,1.514031485284052,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Junior Kroupi,28,72,Resolute,9130,108.0,2037-06-30,185000.0,24.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-07-14,15.25,11,17,8,17,14,19,14,10,16,15,13,16,13,15,18,16,13,16,15,10,15,15,11,15,15,15,12,11,5,11,11,7,17,15,11,12,,7.27,22,Not set,- - -,22,0,France,907.0,25.522245037645447,2.4777549623545516,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ethan Nwaneri,27,67,Fairly Professional,9075,106.0,2038-06-30,275000.0,0.0,England (Premier Division),English Premier Division,2034-08-01,0.675,11,14,9,15,12,14,16,11,15,9,12,16,14,14,18,14,5,16,14,11,15,17,12,16,14,14,7,13,4,8,8,9,16,16,5,14,Inj,6.94,11 (14),Not set,- - -,25,0,England,1272.0,26.57015742642026,0.42984257357973993,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lucas Daguerre,26,63,Resolute,9072,199.5,2039-06-30,400000.0,64.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-08-11,89.0,7,13,15,13,10,15,16,14,16,10,14,14,16,16,19,18,3,15,16,10,13,15,9,15,13,16,9,10,6,8,7,3,17,15,6,16,,7.45,21,Not set,- - -,21,0,France,1637.0,25.59753593429158,0.4024640657084189,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tommaso Baldanzi,31,67,Perfectionist,9020,,2036-06-30,250000.0,69.0,Italy (Serie A),Italian Serie A,2034-08-09,80.0,10,16,11,18,14,15,16,10,17,9,12,17,14,16,17,15,5,15,15,12,13,15,13,15,17,15,11,14,4,9,16,8,17,16,12,13,,7.18,19 (1),Not set,- - -,20,0,Italy,542.0,30.592060232717316,0.4079397672826831,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gavi,30,69,Perfectionist,9019,199.5,2037-06-30,375000.0,69.0,England (Premier Division),English Premier Division,2034-07-08,62.0,19,15,19,14,15,15,17,15,16,12,14,16,17,18,17,15,5,14,13,12,17,14,11,12,11,15,7,10,7,12,11,12,14,17,9,13,,7.26,20 (2),Not set,- - -,22,0,England,907.0,29.50444900752909,0.49555099247091033,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Félix,35,70,Ambitious,8990,0.55,2035-05-31,39500.0,,Scotland (cinch Premiership),cinch Premiership,2034-06-22,159.0,11,15,9,19,11,16,20,8,19,8,10,17,8,13,13,9,6,6,5,3,14,9,11,11,13,18,9,13,3,4,11,5,16,15,15,12,Ret,7.09,9 (7),Not set,- - -,16,0,Scotland,146.0,34.460643394934976,0.5393566050650239,4.0,486.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Paul Wanner,29,73,Fairly Ambitious,8910,129.5,2037-06-30,175000.0,54.0,Italy (Serie A),Italian Serie A,2033-02-28,56.0,8,15,10,17,14,14,17,9,16,13,13,17,13,13,17,15,15,15,13,12,13,14,13,13,11,15,8,12,9,11,16,8,17,16,11,14,,7.37,20,Not set,- - -,20,0,Italy,907.0,27.1492128678987,1.8507871321013005,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oscar Gloukh,30,67,Spirited,8910,92.0,2036-06-30,140000.0,17.25,England (Premier Division),English Premier Division,2030-10-26,21.5,7,15,13,18,13,14,16,13,16,10,12,16,12,15,16,14,4,13,14,10,15,14,12,14,12,15,9,12,6,8,12,7,15,16,13,13,Wnt,7.28,25,Not set,- - -,25,0,England,542.0,25.80561259411362,4.1943874058863795,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alex Scott,31,70,Determined,8852,,2036-06-30,275000.0,25.0,England (Premier Division),English Premier Division,2032-07-28,25.0,12,16,12,17,12,15,16,12,17,15,13,17,15,18,16,16,7,15,15,12,13,15,7,14,12,15,10,10,4,11,10,13,15,15,7,12,,7.19,20 (3),Not set,- - -,23,0,England,542.0,28.560574948665298,2.439425051334702,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arda Güler,29,70,Very Ambitious,8794,56.5,2037-06-30,225000.0,17.25,Spain (First Division),Spanish First Division,2033-02-25,17.25,14,17,11,19,12,14,17,14,14,11,16,17,14,16,16,15,6,10,14,10,16,15,16,16,12,17,12,17,8,11,16,8,19,17,15,17,,6.98,7 (4),Not set,- - -,11,0,Spain,907.0,27.140999315537304,1.8590006844626967,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Dominik Szoboszlai,34,73,Perfectionist,8792,14.0,2035-06-30,175000.0,20.5,Spain (First Division),Spanish First Division,2034-08-02,93.0,12,13,12,16,12,13,17,13,14,10,13,15,15,16,11,12,12,13,13,9,15,12,16,11,11,14,6,14,4,10,16,10,16,17,16,14,,6.84,1 (20),Not set,- - -,21,0,Spain,176.0,33.572895277207394,0.4271047227926078,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Xavi Simons,31,70,Professional,8746,89.5,2036-06-30,250000.0,35.5,Germany (Bundesliga),Bundesliga,2033-10-09,41.0,15,15,12,16,12,13,16,12,14,10,12,15,13,17,16,12,8,15,13,10,16,15,11,14,14,15,9,12,4,8,13,9,16,15,13,12,Wnt,7.21,15,Not set,- - -,15,0,Germany,542.0,29.75975359342916,1.2402464065708418,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Facundo Buonanotte,30,69,Fairly Professional,8690,135.5,2037-06-30,195000.0,5.0,England (Premier Division),English Premier Division,2033-07-04,6.0,12,14,13,14,15,12,14,13,16,10,12,13,15,11,17,16,5,14,15,12,14,15,12,15,13,14,10,14,9,11,11,10,13,14,12,14,,6.93,18 (1),Not set,- - -,19,0,England,907.0,28.494182067077343,1.5058179329226558,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Charles De Ketelaere,33,76,Fairly Professional,8647,16.25,2035-06-30,115000.0,21.0,Italy (Serie A),Italian Serie A,2034-09-01,130.0,8,13,10,14,13,13,15,10,15,10,13,16,12,13,14,14,16,13,13,12,15,12,9,12,13,15,12,11,8,8,10,11,16,15,12,14,,7.21,4 (9),Not set,- - -,13,0,Italy,176.0,32.65503080082136,0.34496919917864477,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Veloso,29,73,Spirited,8635,239.5,2038-06-30,300000.0,63.0,England (Premier Division),English Premier Division,2032-12-28,70.0,10,15,11,15,13,15,17,11,15,13,12,17,14,15,16,14,14,16,15,14,16,15,11,12,12,16,9,13,3,12,14,12,16,16,11,11,,7.33,22 (2),Not set,- - -,24,0,England,1272.0,26.979466119096507,2.020533880903491,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kai Havertz,35,75,Fairly Professional,8614,1.125,2035-06-30,44500.0,,Germany (Bundesliga),Bundesliga,2034-07-12,217.0,11,16,11,13,10,13,16,8,16,12,14,16,14,10,10,12,14,10,7,8,17,10,11,9,12,17,13,10,7,8,12,11,15,16,12,12,Ret,6.99,17,Not set,- - -,17,0,Germany,176.0,34.51540041067762,0.48459958932238195,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabri Veiga,32,72,Balanced,8580,,2036-06-30,190000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-16,93.0,14,16,14,16,12,14,15,11,16,12,13,18,16,14,15,13,13,13,15,12,14,13,12,12,15,15,11,14,6,11,11,11,16,15,8,12,,7.91,23 (1),Not set,- - -,24,0,Saudi Arabia,542.0,31.526351813826146,0.4736481861738535,3.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
Michael Olise,33,72,Ambitious,8580,20.5,2035-06-30,900000.0,21.5,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-17,25.5,6,13,9,15,12,16,16,11,14,11,13,17,14,12,15,14,12,12,10,10,14,13,14,14,14,16,6,13,3,10,16,9,15,15,14,17,,7.93,24,Not set,- - -,24,0,Saudi Arabia,176.0,31.529774127310063,1.4702258726899384,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
João Rêgo,29,72,Resolute,8580,57.0,2037-06-30,235000.0,53.0,England (Premier Division),English Premier Division,2033-01-21,39.0,10,14,13,15,13,14,17,9,15,11,11,16,12,16,17,13,13,13,13,11,15,15,14,15,13,14,8,12,7,10,13,6,16,14,11,14,,7.20,15 (8),Not set,- - -,23,0,England,907.0,27.04517453798768,1.9548254620123204,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Orkun Kökçü,34,69,Fairly Ambitious,8572,5.25,2035-06-30,42000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-08-06,44.5,7,12,10,17,12,16,15,15,14,10,12,17,13,14,10,13,7,10,10,9,16,10,15,10,13,15,7,15,8,10,14,7,16,16,16,15,,7.31,29,Not set,- - -,29,0,Saudi Arabia,176.0,33.58384668035592,0.4161533196440794,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False
João Neves,30,69,Resolute,8567,79.5,2037-06-30,235000.0,58.0,England (Premier Division),English Premier Division,2034-01-19,50.0,17,14,16,14,17,15,15,13,14,14,13,15,16,17,16,15,11,15,15,13,17,14,12,13,12,14,12,12,11,12,10,12,14,15,11,12,,6.93,17 (8),Not set,- - -,25,0,England,907.0,29.039014373716633,0.9609856262833676,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Oscar Bobb,31,69,Fairly Professional,8546,,2036-06-30,275000.0,25.0,Italy (Serie A),Italian Serie A,2034-10-01,25.0,12,15,11,16,14,14,16,10,15,13,13,16,14,13,14,13,7,14,12,8,15,14,14,14,12,16,7,11,5,8,14,6,15,15,10,13,,7.14,16,Not set,- - -,16,0,Italy,542.0,30.737166324435318,0.26283367556468173,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matheus Cunha,35,72,Fairly Determined,8490,0.2,2035-06-30,105000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-12-29,176.0,16,12,15,14,7,10,18,12,13,6,11,13,13,16,11,11,12,10,8,7,14,11,13,14,16,15,10,13,4,6,14,6,16,15,14,13,Wnt,6.98,2 (10),Listed,- - -,12,1,France,176.0,33.98151950718686,1.0184804928131417,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Thiago Almada,33,67,Spirited,8488,2.7,2035-06-30,93000.0,28.5,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-07-31,95.0,13,13,11,18,13,15,17,8,15,10,12,17,13,15,12,13,2,12,10,7,15,11,11,12,12,15,3,15,3,7,15,6,14,15,15,11,Wnt,6.92,0 (6),Listed,- - -,6,1,France,176.0,31.56810403832991,1.431895961670089,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Giannis Konstantelias,31,70,Spirited,8415,32.0,2035-06-30,140000.0,22.5,Germany (Bundesliga),Bundesliga,2029-06-24,21.0,8,16,8,16,13,14,18,11,15,9,12,17,14,12,17,13,7,14,13,10,13,15,13,15,9,16,10,10,6,9,14,6,18,16,11,10,Wnt,7.36,22,Not set,- - -,22,0,Germany,176.0,25.466803559206024,5.533196440793977,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Wilfried Gnonto,31,67,Perfectionist,8415,42.5,2036-06-30,200000.0,,Spain (First Division),Spanish First Division,2034-07-01,51.0,8,15,12,13,11,13,15,9,15,7,12,13,13,15,18,17,4,15,14,13,17,16,3,16,14,13,9,10,1,4,4,4,16,13,8,13,,7.18,2 (14),Not set,- - -,16,0,Spain,542.0,30.485284052019164,0.5147159479808351,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Cody Gakpo,35,74,Spirited,8402,1.35,2035-06-30,91000.0,1.4,England (Premier Division),English Premier Division,2034-01-31,38.0,9,14,11,15,15,12,15,14,15,9,13,15,14,14,11,13,12,10,7,8,13,10,14,12,15,16,11,13,4,7,12,8,15,14,13,15,Ret,7.08,1 (6),Not set,- - -,7,0,England,176.0,34.07186858316222,0.9281314168377823,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mason Mount,35,71,Driven,8389,0.7,2035-06-30,94000.0,55.0,England (Premier Division),English Premier Division,2034-01-09,55.0,15,14,15,15,12,14,14,11,16,14,17,12,19,18,9,9,8,12,13,7,15,11,14,8,14,15,7,10,3,7,13,12,14,13,15,12,Ret,6.84,2 (11),Listed,- - -,13,1,England,176.0,34.011635865845314,0.9883641341546886,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lewis Ferguson,35,71,Spirited,8364,,2036-06-30,110000.0,,England (Premier Division),English Premier Division,2034-05-08,3.0,16,14,15,15,14,14,13,12,15,14,14,14,17,16,10,13,12,11,13,12,18,10,7,9,12,14,13,13,6,13,7,14,15,17,16,10,Inj,7.07,19,Not set,- - -,19,0,England,542.0,34.337440109514034,0.6625598904859685,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Pedro,33,72,Resolute,8363,,2036-06-30,165000.0,29.5,England (Premier Division),English Premier Division,2034-07-16,32.5,15,13,11,15,12,14,16,12,16,8,13,15,16,15,14,15,12,14,11,12,15,14,12,15,14,15,9,12,5,8,12,7,14,12,17,12,Inj,7.03,10 (10),Not set,- - -,20,0,England,542.0,32.526351813826146,0.4736481861738535,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Assan Ouédraogo,28,75,Resolute,8359,85.0,2038-06-30,110000.0,16.25,England (Premier Division),English Premier Division,2034-02-08,13.25,10,13,12,15,12,14,16,13,15,12,12,15,13,16,15,14,15,13,13,13,14,14,6,15,12,15,11,14,5,10,9,9,15,15,13,8,,7.21,20,Not set,- - -,20,0,England,1272.0,27.093771389459274,0.9062286105407256,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cole Palmer,32,74,Balanced,8294,8.95,2036-06-30,125000.0,35.5,Italy (Serie A),Italian Serie A,2033-08-26,122.0,8,15,8,14,14,14,16,8,13,8,11,14,13,11,14,15,15,12,12,7,13,14,12,12,16,16,7,13,2,7,13,8,16,13,13,12,nEU,7.16,2 (11),Not set,- - -,13,0,Italy,542.0,30.639288158795345,1.3607118412046544,3.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lazar Samardžić,32,72,Fairly Ambitious,8265,,2036-06-30,74000.0,,Italy (Serie A),Italian Serie A,2034-12-29,2.6,13,14,11,15,12,15,16,9,15,8,12,16,12,13,10,13,12,9,9,10,13,10,15,13,13,16,5,15,4,6,15,6,16,16,13,15,,6.84,18,Not set,- - -,18,0,Italy,542.0,31.980835044490075,0.019164955509924708,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruno Meunier,26,73,Resilient,8249,194.0,2039-06-30,475000.0,67.0,England (Premier Division),English Premier Division,2035-01-01,50.0,8,13,17,17,10,16,15,8,14,9,12,17,9,15,17,15,16,16,13,12,16,16,9,16,12,17,13,9,4,6,10,4,16,14,11,10,,6.98,4 (13),Not set,- - -,17,0,England,1637.0,25.98904859685147,0.010951403148528405,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
