Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_China,Country_Colombia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_England,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Italy,Country_Ivory Coast,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Spain,Country_Sweden,Country_Switzerland,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Sandro Tonali,34,71,Resolute,9030,5.6,2035-06-30,215000.0,55.0,England (Premier Division),English Premier Division,2034-01-06,72.0,15,16,16,15,16,15,14,15,15,15,16,16,16,16,13,14,10,12,12,10,15,10,15,11,9,17,9,12,9,15,12,16,16,15,13,13,Wnt,7.04,20,Not set,- - -,20,0,England,176.0,33.00342231348392,0.9965776865160849,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gavi,30,69,Perfectionist,9019,199.5,2037-06-30,375000.0,69.0,England (Premier Division),English Premier Division,2034-07-08,62.0,19,15,19,14,15,15,17,15,16,12,14,16,17,18,17,15,5,14,13,12,17,14,11,12,11,15,7,10,7,12,11,12,14,17,9,13,,7.26,20 (2),Not set,- - -,22,0,England,907.0,29.50444900752909,0.49555099247091033,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Manu Koné,33,73,Spirited,8901,15.0,2036-06-30,245000.0,,England (Premier Division),English Premier Division,2035-01-03,60.0,17,15,16,15,14,15,17,9,14,14,13,17,17,16,15,16,13,14,14,14,15,12,6,15,11,15,12,12,6,14,6,15,17,16,10,12,,6.87,11 (12),Not set,- - -,23,0,England,542.0,32.99452429842574,0.0054757015742642025,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alessandro Bastoni,35,75,Professional,8855,,2036-06-30,300000.0,27.5,Italy (Serie A),Italian Serie A,2034-12-30,27.5,14,16,17,13,16,15,12,13,11,15,16,14,17,16,12,15,15,11,11,12,18,12,3,8,9,15,14,7,11,15,4,16,14,16,8,13,,7.03,20 (3),Not set,- - -,23,0,Italy,542.0,34.983572895277206,0.01642710472279261,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alex Scott,31,70,Determined,8852,,2036-06-30,275000.0,25.0,England (Premier Division),English Premier Division,2032-07-28,25.0,12,16,12,17,12,15,16,12,17,15,13,17,15,18,16,16,7,15,15,12,13,15,7,14,12,15,10,10,4,11,10,13,15,15,7,12,,7.19,20 (3),Not set,- - -,23,0,England,542.0,28.560574948665298,2.439425051334702,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Billy Gilmour,33,67,Resolute,8787,,2036-06-30,800000.0,23.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-23,93.0,11,16,13,17,14,15,12,14,16,15,14,17,13,15,12,13,5,12,11,7,15,12,12,11,10,15,6,10,4,10,12,12,16,17,14,9,,7.48,27,Not set,- - -,27,0,Saudi Arabia,542.0,32.54551676933607,0.4544832306639288,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Nico González,33,74,Professional,8786,,2036-06-30,225000.0,99.0,Germany (Bundesliga),Bundesliga,2034-04-06,85.0,13,16,12,16,13,14,16,13,13,16,12,16,14,14,14,16,14,14,14,15,16,13,8,12,9,16,12,11,4,13,8,13,15,15,10,11,,7.07,22,Not set,- - -,22,0,Germany,542.0,32.2498288843258,0.7501711156741958,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lutsharel Geertruida,34,72,Light-Hearted,8652,2.35,2035-06-30,250000.0,19.0,Spain (First Division),Spanish First Division,2033-07-30,78.0,12,15,14,15,17,12,9,14,14,14,13,13,15,15,14,14,13,12,12,11,17,11,10,7,8,14,13,13,12,13,11,13,14,15,8,9,Bid,7.00,16 (2),Listed,- - -,18,1,Spain,176.0,32.56536618754278,1.434633812457221,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Nicolò Rovella,33,70,Resolute,8652,,2036-06-30,425000.0,14.5,Italy (Serie A),Italian Serie A,2034-07-20,30.0,14,16,13,13,16,14,15,14,14,16,14,17,15,16,15,13,7,14,14,12,16,12,14,9,9,16,8,12,3,12,12,17,15,17,12,13,,6.98,20 (3),Not set,- - -,23,0,Italy,542.0,32.53730321697468,0.46269678302532513,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Steven Diedam,26,73,Professional,8635,48.0,2037-06-30,185000.0,62.0,Spain (First Division),Spanish First Division,2033-01-27,119.0,13,16,15,13,13,14,14,15,12,14,11,17,16,15,16,16,15,15,16,13,16,14,9,9,16,11,9,10,6,15,8,14,15,12,6,9,Bid,6.87,22,Listed,- - -,22,1,Spain,907.0,24.06160164271047,1.9383983572895278,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Lucas Gourna-Douath,31,73,Fairly Determined,8635,,2036-06-30,275000.0,77.0,England (Premier Division),English Premier Division,2032-08-10,176.0,12,16,14,14,16,15,14,11,13,16,12,14,14,16,16,15,15,15,15,14,15,15,9,13,9,14,13,12,7,13,8,13,13,15,8,11,,7.05,23,Not set,- - -,23,0,England,542.0,28.596167008898014,2.403832991101985,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
André,33,70,Fairly Professional,8633,43.0,2036-06-30,300000.0,,Italy (Serie A),Italian Serie A,2032-06-19,16.5,13,16,13,14,14,15,13,14,14,16,14,16,14,14,15,15,7,13,13,13,16,13,8,12,9,16,11,11,9,15,8,14,15,15,11,9,Wnt,6.96,13 (1),Not set,- - -,14,0,Italy,542.0,30.453798767967147,2.546201232032854,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alan Varela,33,69,Fairly Loyal,8617,37.5,2035-06-30,275000.0,21.5,Italy (Serie A),Italian Serie A,2034-08-09,68.0,13,15,14,14,14,15,16,14,15,15,15,16,15,14,13,14,6,11,11,10,17,12,5,10,7,16,8,12,2,14,9,14,16,16,13,8,nEU,6.74,6 (15),Not set,- - -,21,0,Italy,176.0,32.592060232717316,0.4079397672826831,3.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Edoardo Bove,32,69,Model Citizen,8571,,2036-06-30,180000.0,30.0,Italy (Serie A),Italian Serie A,2034-01-04,36.5,14,17,16,15,13,14,14,10,15,14,15,14,17,17,16,14,7,14,13,15,17,14,8,11,12,14,9,10,4,12,6,15,14,15,9,10,,7.21,20,Not set,- - -,20,0,Italy,542.0,30.99794661190965,1.002053388090349,0.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Neves,30,69,Resolute,8567,79.5,2037-06-30,235000.0,58.0,England (Premier Division),English Premier Division,2034-01-19,50.0,17,14,16,14,17,15,15,13,14,14,13,15,16,17,16,15,11,15,15,13,17,14,12,13,12,14,12,12,11,12,10,12,14,15,11,12,,6.93,17 (8),Not set,- - -,25,0,England,907.0,29.039014373716633,0.9609856262833676,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Javi Guerra,31,74,Resolute,8525,46.5,2037-06-30,125000.0,52.0,Italy (Serie A),Italian Serie A,2033-09-01,157.0,11,13,13,15,13,15,14,13,14,12,14,16,14,15,15,14,14,14,14,13,15,14,10,13,12,16,9,14,6,9,10,9,14,14,13,12,Ask,7.18,22 (1),Not set,- - -,23,0,Italy,907.0,29.65571526351814,1.3442847364818618,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Quinten Timber,33,70,Ambitious,8503,,2036-06-30,650000.0,28.5,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-27,114.0,8,16,13,16,13,16,13,12,12,14,14,13,14,16,14,14,10,12,12,13,15,12,4,11,8,15,9,8,5,12,10,13,15,15,9,9,,7.74,30,Not set,- - -,30,0,Saudi Arabia,542.0,32.5564681724846,0.44353182751540043,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Samuele Ricci,33,71,Resolute,8396,15.25,2036-06-30,140000.0,46.0,Italy (Serie A),Italian Serie A,2034-04-12,42.5,12,16,14,17,14,14,14,13,14,15,13,16,14,16,12,15,12,13,13,10,15,14,8,11,8,14,8,12,6,11,9,14,16,16,8,11,,6.78,2 (19),Not set,- - -,21,0,Italy,542.0,32.266255989048595,0.7337440109514032,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mason Mount,35,71,Driven,8389,0.7,2035-06-30,94000.0,55.0,England (Premier Division),English Premier Division,2034-01-09,55.0,15,14,15,15,12,14,14,11,16,14,17,12,19,18,9,9,8,12,13,7,15,11,14,8,14,15,7,10,3,7,13,12,14,13,15,12,Ret,6.84,2 (11),Listed,- - -,13,1,England,176.0,34.011635865845314,0.9883641341546886,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Christos Zafeiris,31,68,Spirited,8360,,2036-06-30,110000.0,40.0,England (Premier Division),English Premier Division,2033-01-27,126.0,12,14,7,14,12,16,14,11,15,13,12,16,14,15,15,11,6,13,14,9,13,14,12,11,11,16,8,12,7,11,12,11,16,15,11,12,,7.16,22 (3),Not set,- - -,25,0,England,542.0,29.06160164271047,1.9383983572895278,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kristjan Asllani,32,69,Fairly Professional,8353,20.75,2036-06-30,170000.0,50.0,Italy (Serie A),Italian Serie A,2033-01-31,103.0,10,16,12,16,13,13,13,12,14,15,14,15,12,12,14,14,8,13,15,11,15,15,12,11,10,16,8,13,5,11,12,11,14,17,12,11,Wnt,6.77,3 (14),Not set,- - -,17,0,Italy,542.0,30.072553045859,1.9274469541409993,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Morten Hjulmand,35,73,Resolute,8343,1.5,2035-06-30,115000.0,54.0,Spain (First Division),Spanish First Division,2033-01-07,58.0,18,14,15,12,17,14,11,13,13,15,15,15,16,17,11,12,9,11,12,9,16,10,7,10,10,15,8,13,8,12,7,16,14,16,9,11,Wnt,6.64,4 (17),Listed,- - -,21,1,Spain,176.0,33.00684462696783,1.9931553730321698,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ederson,35,72,Resolute,8289,,2036-06-30,13250.0,,Italy (Serie A),Italian Serie A,2034-12-03,24.5,13,16,12,14,13,14,16,9,16,13,14,14,13,15,8,11,11,8,10,7,13,9,8,8,12,14,13,12,5,12,10,13,15,15,11,11,,6.82,19 (1),Not set,- - -,20,0,Italy,542.0,34.90965092402464,0.09034907597535935,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Samú,34,72,Resolute,8212,5.2,2036-06-30,67000.0,,Portugal (Premier League),Portuguese Premier League,2035-01-03,70.0,14,17,14,15,14,13,10,14,13,16,14,15,17,15,14,13,13,12,14,11,15,11,8,9,10,14,8,12,8,12,9,16,15,16,10,9,,7.00,13 (3),Not set,- - -,16,0,Portugal,542.0,33.99452429842574,0.0054757015742642025,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Florentino Luís,35,72,Fairly Professional,8188,3.0,2035-06-30,97000.0,,Spain (First Division),Spanish First Division,2034-10-06,45.0,14,19,15,13,17,14,11,10,11,17,17,15,16,14,10,12,13,9,12,8,16,11,4,7,4,15,9,7,8,14,4,18,14,15,10,5,Wnt,7.09,18,Listed,- - -,18,1,Spain,176.0,34.75085557837098,0.24914442162902123,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Sivert Mannsverk,32,73,Professional,8175,22.0,2036-06-30,300000.0,74.0,Italy (Serie A),Italian Serie A,2033-07-10,62.0,14,16,12,13,16,15,13,15,14,15,12,16,13,14,12,13,14,13,16,12,14,12,13,9,7,14,11,11,7,15,9,13,14,15,12,13,Inj,6.63,2 (15),By request,- - -,17,1,Italy,542.0,30.510609171800137,1.4893908281998631,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Danilo,33,69,Fairly Professional,8165,8.5,2035-06-30,150000.0,20.5,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2033-01-05,32.5,13,18,12,15,14,14,14,10,13,15,15,16,14,13,13,14,7,11,10,9,15,11,10,11,9,15,11,12,5,14,12,14,16,15,10,11,Wnt,6.96,19,Not set,- - -,19,0,France,176.0,31.001368925393567,1.998631074606434,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ísak Jóhannesson,31,71,Resolute,8140,,2037-06-30,140000.0,,England (Premier Division),English Premier Division,2034-07-01,21.5,13,13,12,15,13,14,14,11,14,12,12,15,15,16,16,13,11,15,14,12,16,14,15,12,12,14,9,12,5,12,12,12,16,16,12,13,,7.21,21,Not set,- - -,21,0,England,907.0,30.485284052019164,0.5147159479808351,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lamine Camara,31,68,Perfectionist,8116,67.5,2036-06-30,70000.0,10.5,Spain (First Division),Spanish First Division,2030-07-24,9.5,12,15,14,13,14,14,14,14,14,16,14,16,16,15,16,15,6,15,14,13,14,13,13,11,13,13,9,13,8,12,11,12,13,14,14,13,Wnt,7.04,20,Not set,- - -,20,0,Spain,542.0,26.548254620123203,4.4517453798767965,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Amir Richardson,32,77,Resolute,8097,8.9,2036-06-30,84000.0,46.5,Portugal (Premier League),Portuguese Premier League,2033-11-29,68.0,15,15,14,15,12,16,12,9,13,14,13,16,13,15,12,15,17,11,11,10,14,11,5,10,10,13,13,10,1,13,6,14,15,16,8,4,Bid,7.04,3 (10),Not set,- - -,13,0,Portugal,542.0,30.899383983572896,1.1006160164271048,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Cheick Doucouré,34,71,Spirited,8085,3.45,2036-06-30,71000.0,3.0,Spain (First Division),Spanish First Division,2034-08-04,20.5,14,16,14,15,13,14,12,10,12,14,13,15,14,15,9,13,11,11,12,9,15,9,7,8,9,15,12,10,9,14,7,15,15,15,10,8,,6.98,4 (9),Not set,- - -,13,0,Spain,542.0,33.578370978781656,0.4216290212183436,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Jorne Spileers,29,74,Resolute,8082,26.0,2037-06-30,115000.0,18.25,Portugal (Premier League),Portuguese Premier League,2032-09-23,18.25,9,15,12,14,14,14,11,11,13,14,14,14,14,15,16,14,14,15,14,12,13,14,7,8,7,13,12,9,6,16,8,14,13,13,8,8,Wnt,7.04,22,Not set,- - -,22,0,Portugal,907.0,26.71663244353183,2.2833675564681726,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Mads Bidstrup,33,70,Fairly Determined,8078,,2036-06-30,73000.0,21.5,Spain (First Division),Spanish First Division,2034-12-31,24.5,13,15,14,14,16,15,12,12,13,16,14,16,16,16,14,13,8,13,15,11,16,13,10,11,9,15,9,12,5,12,9,13,14,14,8,13,,7.24,21,Not set,- - -,21,0,Spain,542.0,32.98631074606434,0.013689253935660506,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False
Ivan Ilić,33,72,Professional,8078,11.0,2036-06-30,82000.0,,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-07-01,22.0,10,16,12,15,13,13,14,10,14,12,15,15,12,15,12,14,12,14,12,11,16,11,13,11,11,15,8,12,8,10,11,13,16,16,11,14,,7.00,8 (14),Not set,- - -,22,0,France,542.0,32.48528405201917,0.5147159479808351,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ethan Ampadu,34,72,Spirited,8041,,2036-06-30,41000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-10,65.0,12,16,16,15,15,14,8,14,8,15,12,14,13,13,10,14,13,12,10,9,14,12,5,8,6,13,12,5,11,14,5,15,12,14,9,9,,6.91,28,Not set,- - -,28,0,Saudi Arabia,542.0,33.50992470910335,0.49007529089664614,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Máximo Perrone,31,70,Fairly Ambitious,8038,,2036-06-30,180000.0,31.0,Italy (Serie A),Italian Serie A,2034-08-10,94.0,13,16,13,15,14,16,15,13,13,14,13,17,13,14,14,14,9,14,13,12,14,14,8,12,9,16,11,12,9,14,11,13,16,16,12,9,,7.05,21 (3),Not set,- - -,24,0,Italy,542.0,30.59479808350445,0.405201916495551,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
