Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_China,Country_Colombia,Country_Croatia,Country_Denmark,Country_Ecuador,Country_England,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Italy,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Norway,Country_Poland,Country_Portugal,Country_Qatar,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_Spain,Country_Sweden,Country_Switzerland,Country_Tunisia,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_nan
Piero Hincapié,32,72,Resolute,9014,,2036-06-30,190000.0,5.5,Germany (Bundesliga),Bundesliga,2034-07-21,6.75,16,17,17,14,17,14,12,14,12,16,12,13,16,17,15,14,14,15,14,15,15,15,3,11,6,13,13,7,13,16,5,15,14,15,8,10,,7.00,24,Not set,- - -,24,0,Germany,542.0,31.540041067761805,0.459958932238193,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matthijs de Ligt,35,74,Model Professional,8968,2.15,2035-06-30,250000.0,57.0,Germany (Bundesliga),Bundesliga,2032-01-11,132.0,16,16,18,13,15,15,8,18,9,16,14,12,16,16,9,13,15,8,10,13,14,9,3,9,9,14,15,11,6,16,10,16,12,14,7,8,,7.08,14 (1),Not set,- - -,15,0,Germany,176.0,32.01574264202601,2.9842573579739904,5.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ibrahima Konaté,35,76,Spirited,8966,3.375,2035-06-30,150000.0,6.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-07-15,39.0,15,16,15,15,18,14,9,11,8,16,13,10,15,15,9,15,16,13,10,14,16,11,2,11,4,15,16,5,12,15,5,16,15,14,6,5,,6.98,4 (8),Not set,- - -,12,0,France,176.0,34.52361396303901,0.47638603696098564,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jurriën Timber,33,70,Resolute,8910,23.0,2036-06-30,230000.0,26.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-01-31,99.0,13,14,14,14,17,16,12,12,13,16,15,12,15,16,12,12,12,11,11,11,13,12,3,8,6,14,12,7,6,14,8,13,15,16,7,9,,6.68,1 (8),Not set,- - -,9,0,France,542.0,32.07186858316222,0.9281314168377823,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Marc Guéhi,34,72,Professional,8878,,2036-06-30,140000.0,46.5,England (Premier Division),English Premier Division,2035-01-03,52.0,11,16,13,16,16,15,12,16,11,16,13,12,14,15,13,14,13,13,12,11,17,13,5,12,8,16,13,7,9,15,6,16,16,15,8,7,,6.90,25,Not set,- - -,25,0,England,542.0,33.99452429842574,0.0054757015742642025,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jan Paul van Hecke,34,74,Professional,8875,,2036-06-30,325000.0,,Italy (Serie A),Italian Serie A,2035-01-02,2.0,17,16,15,17,18,15,9,13,8,16,14,13,13,16,14,14,15,12,11,13,17,11,4,11,7,15,16,5,7,15,5,16,14,15,6,7,,7.00,13 (3),Not set,- - -,16,0,Italy,542.0,33.9917864476386,0.008213552361396304,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jorrel Hato,28,74,Fairly Professional,8855,166.5,2038-06-30,275000.0,69.0,Italy (Serie A),Italian Serie A,2033-08-27,50.0,13,15,14,16,16,16,13,14,13,16,14,13,13,14,15,15,16,14,14,14,16,14,10,11,7,12,12,12,13,14,7,14,14,12,9,15,,6.94,18 (4),Not set,- - -,22,0,Italy,1272.0,26.642026009582477,1.3579739904175223,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Alessandro Bastoni,35,75,Professional,8855,,2036-06-30,300000.0,27.5,Italy (Serie A),Italian Serie A,2034-12-30,27.5,14,16,17,13,16,15,12,13,11,15,16,14,17,16,12,15,15,11,11,12,18,12,3,8,9,15,14,7,11,15,4,16,14,16,8,13,,7.03,20 (3),Not set,- - -,23,0,Italy,542.0,34.983572895277206,0.01642710472279261,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdoulaye Bah,26,73,Perfectionist,8853,155.5,2039-06-30,230000.0,64.0,England (Premier Division),English Premier Division,2034-11-07,50.0,6,16,12,13,18,15,8,11,10,16,12,15,16,15,16,16,15,15,16,14,17,16,8,9,6,13,13,10,7,14,7,16,12,15,8,11,,7.04,27,Not set,- - -,27,0,England,1637.0,25.838466803559207,0.16153319644079397,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Willian Pacho,33,74,Spirited,8799,,2036-06-30,145000.0,49.5,Spain (First Division),Spanish First Division,2034-12-31,44.0,12,15,16,15,16,15,10,11,9,16,13,13,15,16,14,15,14,15,14,15,14,15,3,10,8,13,14,8,9,17,4,16,13,14,8,9,,7.18,21,Not set,- - -,21,0,Spain,542.0,32.98631074606434,0.013689253935660506,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Nico Schlotterbeck,35,75,Driven,8790,2.9250000000000003,2035-06-30,165000.0,3.6,England (Premier Division),English Premier Division,2034-09-01,24.0,16,15,17,16,14,13,13,13,10,15,15,14,17,18,10,14,16,13,8,12,15,11,3,11,8,13,14,12,13,15,5,16,14,16,9,11,Ret,6.78,2 (7),Not set,- - -,9,0,England,176.0,34.65503080082136,0.34496919917864477,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Malick Thiaw,33,76,Professional,8787,,2036-06-30,850000.0,32.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-08-01,31.0,15,16,16,14,15,13,8,13,9,16,13,13,13,16,13,15,16,13,13,15,16,13,5,9,8,15,14,6,11,16,6,15,14,14,9,8,,7.70,29,Not set,- - -,29,0,Saudi Arabia,542.0,32.57015742642026,0.42984257357973993,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Éder Militão,36,73,Spirited,8780,1.8325,2035-12-31,88000.0,,Brazil (First Division),Brazilian National First Division,2034-07-10,77.0,15,16,16,12,14,13,9,16,10,16,13,10,16,15,11,12,14,9,9,10,18,9,8,9,6,12,14,9,9,15,8,16,13,15,11,9,,-,-,Not set,- - -,0,0,Brazil,360.0,35.50992470910335,0.49007529089664614,4.0,493.0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mohamed Simakan,34,74,Resolute,8760,,2036-06-30,110000.0,,Saudi Arabia (First Division),Saudi First Division League,2034-07-01,118.0,13,15,16,15,15,13,12,12,11,15,13,12,13,16,11,14,13,11,10,10,14,11,3,11,8,13,13,7,12,15,3,15,12,14,5,13,,7.77,29,Not set,- - -,29,0,Saudi Arabia,542.0,33.48528405201917,0.5147159479808351,4.0,387.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Flavien-Enzo Boyomo,33,71,Balanced,8749,,2036-06-30,110000.0,20.5,Spain (First Division),Spanish First Division,2035-01-04,22.0,10,17,12,14,16,16,6,11,10,15,12,14,14,14,14,13,13,13,13,12,14,13,6,11,6,15,15,10,6,14,5,15,14,15,8,11,Wnt,7.15,24,Not set,- - -,24,0,Spain,542.0,32.997262149212865,0.0027378507871321013,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Jorge Cuenca,35,74,Fairly Professional,8742,10.55,2035-06-30,800000.0,27.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-31,23.5,12,16,13,15,16,16,8,10,9,16,13,12,13,14,11,12,15,13,11,13,16,13,7,8,7,16,14,8,9,16,5,16,13,15,6,9,,7.91,18,Not set,- - -,18,0,Saudi Arabia,176.0,33.56810403832991,1.431895961670089,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Jarrad Branthwaite,32,77,Fairly Ambitious,8735,,2036-06-30,775000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2032-07-01,1.0,14,16,17,16,16,14,13,13,12,14,12,14,14,13,14,14,18,12,13,12,14,12,2,9,7,13,15,6,9,13,6,13,13,12,5,6,,7.66,23 (3),Not set,- - -,26,0,Saudi Arabia,542.0,29.48665297741273,2.513347022587269,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Strahinja Pavlović,33,76,Balanced,8708,9.75,2035-06-30,225000.0,39.0,England (Premier Division),English Premier Division,2034-06-02,60.0,14,14,15,15,15,14,11,14,11,16,15,11,14,14,10,12,16,13,9,13,15,10,4,8,6,12,15,8,8,15,6,14,14,12,8,5,,6.86,5 (2),Not set,- - -,7,0,England,176.0,32.40588637919233,0.5941136208076659,3.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sven Botman,34,76,Resolute,8663,,2036-06-30,49000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-19,42.0,10,15,17,15,18,15,8,15,9,17,15,12,14,15,8,12,14,7,12,11,13,9,5,8,6,14,14,6,9,16,2,15,13,14,7,8,,7.33,25,Not set,- - -,25,0,Saudi Arabia,542.0,33.53456536618754,0.4654346338124572,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Lutsharel Geertruida,34,72,Light-Hearted,8652,2.35,2035-06-30,250000.0,19.0,Spain (First Division),Spanish First Division,2033-07-30,78.0,12,15,14,15,17,12,9,14,14,14,13,13,15,15,14,14,13,12,12,11,17,11,10,7,8,14,13,13,12,13,11,13,14,15,8,9,Bid,7.00,16 (2),Listed,- - -,18,1,Spain,176.0,32.56536618754278,1.434633812457221,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Valentín Gómez,31,71,Fairly Professional,8621,,2036-06-30,100000.0,12.5,England (Premier Division),English Premier Division,2032-06-12,18.75,15,16,16,13,16,16,13,14,11,13,13,12,15,14,14,15,12,15,14,15,16,15,6,11,5,13,13,10,13,16,6,15,14,13,14,8,,6.89,20,Not set,- - -,20,0,England,542.0,28.43463381245722,2.565366187542779,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gonçalo Inácio,33,74,Professional,8605,,2036-06-30,775000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-01,98.0,15,15,14,15,18,14,7,14,13,16,12,14,12,15,12,14,16,13,13,14,15,12,7,11,11,14,15,8,8,16,6,12,14,16,11,11,,7.88,30,Not set,- - -,30,0,Saudi Arabia,542.0,31.48596851471595,1.514031485284052,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Odilon Kossounou,34,75,Resolute,8598,,2036-06-30,925000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-01,84.0,13,16,14,14,16,14,12,11,11,13,14,13,14,16,11,15,16,16,10,12,14,12,3,10,5,14,13,6,12,15,3,14,13,15,5,9,Inj,7.63,30,Not set,- - -,30,0,Saudi Arabia,542.0,33.48528405201917,0.5147159479808351,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
El Chadaille Bitshiabu,29,77,Resolute,8580,201.5,2037-06-30,300000.0,34.5,Italy (Serie A),Italian Serie A,2034-12-11,51.0,13,17,14,14,16,14,10,16,11,15,12,13,13,16,15,15,18,16,13,16,14,14,1,12,6,12,13,7,13,14,1,13,13,14,6,8,,7.27,23,Not set,- - -,23,0,Italy,907.0,28.9315537303217,0.06844626967830253,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Ilija Kostić,26,76,Fairly Determined,8525,66.5,2038-06-30,190000.0,59.0,Italy (Serie A),Italian Serie A,2034-01-20,93.0,7,14,15,12,15,15,10,14,9,16,11,13,11,15,15,16,17,14,12,14,14,13,5,11,6,11,17,5,5,14,2,14,14,13,7,5,,6.96,10,Not set,- - -,10,0,Italy,1272.0,25.041752224503764,0.9582477754962354,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zeno Debast,31,75,Fairly Ambitious,8521,54.5,2037-06-30,110000.0,41.0,Italy (Serie A),Italian Serie A,2034-08-03,70.0,8,14,10,16,17,13,13,10,11,14,12,17,13,14,14,15,15,15,12,14,13,15,7,9,7,14,15,9,8,15,8,15,15,16,9,11,,7.28,3 (1),Not set,- - -,4,0,Italy,907.0,30.575633127994525,0.4243668720054757,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tanguy Nianzou,32,75,Fairly Professional,8497,17.0,2035-06-30,99000.0,13.75,Spain (First Division),Spanish First Division,2032-03-29,13.75,16,16,14,16,15,14,13,13,12,16,13,13,13,13,12,16,16,14,12,15,15,13,4,11,7,14,17,8,4,13,4,14,13,14,6,9,Wnt,6.98,17,Not set,- - -,17,0,Spain,176.0,29.229295003422315,2.7707049965776864,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Bafodé Diakité,33,73,Resolute,8489,,2036-06-30,115000.0,2.6,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-06-08,2.6,12,16,13,14,16,14,12,14,14,14,13,12,14,15,14,14,14,12,13,13,15,14,5,9,11,13,15,8,14,16,4,14,12,15,9,13,,7.31,19,Not set,- - -,19,0,France,542.0,32.422313483915126,0.5776865160848734,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jean-Clair Todibo,35,75,Spirited,8476,1.045,2035-06-30,110000.0,7.25,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-01-23,8.25,14,16,14,15,17,12,11,13,7,15,14,12,13,15,11,13,14,14,12,13,18,11,2,10,8,14,13,7,7,16,4,16,14,15,4,6,Inj,6.85,17,Not set,- - -,17,0,France,176.0,32.04859685147159,2.951403148528405,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Robert Renan,31,73,Resolute,8470,,2036-06-30,125000.0,43.0,Spain (First Division),Spanish First Division,2032-01-02,53.0,11,15,14,14,14,14,9,13,10,14,12,14,15,15,15,15,14,14,14,13,17,14,9,13,9,13,12,9,10,15,9,13,14,14,10,9,,7.11,24,Not set,- - -,24,0,Spain,542.0,27.99110198494182,3.0088980150581794,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Natan,33,74,Resolute,8444,,2036-06-30,110000.0,8.5,Italy (Serie A),Italian Serie A,2035-01-02,11.5,10,16,15,14,16,14,8,10,11,15,14,13,15,15,13,14,14,13,14,14,16,13,5,9,8,14,14,6,11,14,7,16,14,14,7,11,,7.08,25,Not set,- - -,25,0,Italy,542.0,32.9917864476386,0.008213552361396304,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Federico Gatti,36,75,Professional,8419,3.1999999999999997,2035-06-30,750000.0,6.25,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-23,5.0,16,16,17,13,16,13,7,15,11,14,15,10,16,17,12,13,15,10,11,15,17,11,4,6,12,14,16,8,8,15,6,16,13,15,6,10,,7.74,20 (1),Not set,- - -,21,0,Saudi Arabia,176.0,34.54620123203286,1.4537987679671458,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Josip Šutalo,34,75,Professional,8406,3.7249999999999996,2035-06-30,135000.0,50.0,England (Premier Division),English Premier Division,2033-06-19,62.0,11,17,13,16,16,13,11,12,8,16,14,11,12,15,10,13,16,12,12,12,15,12,1,8,5,14,14,4,6,15,2,16,15,13,5,9,,6.77,7,Not set,- - -,7,0,England,176.0,32.45311430527036,1.5468856947296372,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Micky van de Ven,33,76,Ambitious,8398,,2036-06-30,775000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-01,37.5,14,13,15,14,14,14,13,15,11,14,13,12,15,17,11,13,15,16,11,14,17,14,2,11,7,12,12,7,13,14,2,13,14,13,5,12,Inj,7.91,28 (1),Not set,- - -,29,0,Saudi Arabia,542.0,32.48528405201917,0.5147159479808351,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False
Axel Disasi,36,75,Fairly Professional,8360,0.825,2035-06-30,64000.0,,Spain (First Division),Spanish First Division,2034-01-05,51.0,13,15,15,13,16,15,7,14,11,16,13,11,15,14,10,13,14,10,10,13,15,10,4,6,5,14,15,7,8,15,4,16,14,15,7,6,Inj,6.94,18,Not set,- - -,18,0,Spain,176.0,35.00068446269678,0.999315537303217,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
