Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Bosnia & Herzegovina,Country_Brazil,Country_Cape Verde,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_Cyprus,Country_Czechia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_Eq. Guinea,Country_Finland,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Honduras,Country_Hungary,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Ivory Coast,Country_Japan,Country_Mali,Country_Mexico,Country_Morocco,Country_N.Ireland,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Serbia,Country_Slovenia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Tunisia,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_Venezuela,Country_nan
Lucas Daguerre,26,63,Resolute,9072,199.5,2039-06-30,400000.0,64.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-08-11,89.0,7,13,15,13,10,15,16,14,16,10,14,14,16,16,19,18,3,15,16,10,13,15,9,15,13,16,9,10,6,8,7,3,17,15,6,16,,7.45,21,Not set,- - -,21,0,France,1637.0,25.59753593429158,0.4024640657084189,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sergio Seligrat,23,70,Fairly Professional,9457,195.5,2038-06-30,525000.0,47.0,England (Premier Division),English Premier Division,2033-12-05,47.0,11,15,11,16,14,19,16,8,15,13,14,16,16,13,20,19,9,16,18,13,16,18,8,16,8,13,12,11,10,14,16,12,16,17,10,16,,7.41,24,Not set,- - -,24,0,England,1272.0,21.915811088295687,1.0841889117043122,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdullah Al-Shamrani,24,70,Driven,8690,194.5,2037-06-30,195000.0,79.0,Germany (Bundesliga),Bundesliga,2032-07-11,73.0,10,16,8,18,12,17,17,13,16,9,12,16,12,18,15,16,7,14,16,16,18,13,11,15,16,16,13,13,8,11,13,6,16,15,11,12,Int,7.33,20 (1),Not set,- - -,21,0,Germany,907.0,21.51403148528405,2.485968514715948,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mathys Tel,29,72,Model Citizen,9460,203.5,2037-06-30,300000.0,21.5,Germany (Bundesliga),Bundesliga,2032-12-24,21.5,8,14,12,16,14,13,16,15,16,9,12,15,12,16,17,14,14,17,13,14,17,16,12,15,16,14,12,14,6,9,14,7,15,13,15,12,,7.03,20 (2),Not set,- - -,22,0,Germany,907.0,26.968514715947983,2.0314852840520192,0.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rúben Ribeiro,26,70,Model Citizen,8995,190.0,2039-06-30,220000.0,62.0,England (Premier Division),English Premier Division,2034-12-01,66.0,8,17,10,18,13,16,17,8,16,9,14,16,15,15,18,14,7,17,14,15,15,17,10,17,17,13,11,13,4,11,10,6,17,14,15,14,,7.60,19 (1),Not set,- - -,20,0,England,1637.0,25.904175222450377,0.09582477754962354,0.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jan Sarsanedas,26,70,Model Citizen,9625,200.0,2039-06-30,400000.0,72.0,Spain (First Division),Spanish First Division,2034-11-21,114.0,6,16,10,16,13,16,16,17,15,13,12,16,13,15,18,17,9,16,17,13,15,16,10,15,12,17,10,11,5,12,14,9,17,18,8,12,,6.96,18,Not set,- - -,18,0,Spain,1637.0,25.876796714579054,0.12320328542094455,0.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False
Alix Lebreton,24,68,Professional,7709,188.0,2037-06-30,210000.0,3.9,England (Premier Division),English Premier Division,2034-04-08,3.9,8,15,14,18,12,16,16,8,15,14,12,19,10,17,14,16,7,16,14,13,13,15,9,12,12,17,8,12,7,12,14,12,16,13,14,11,,7.01,23 (1),Not set,- - -,24,0,England,907.0,23.255304585900067,0.7446954140999316,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Sergio,23,72,Resolute,7865,194.5,2039-06-30,205000.0,60.0,England (Premier Division),English Premier Division,2034-07-13,43.5,13,16,16,13,14,16,10,15,10,16,13,16,17,16,17,15,13,14,16,16,12,15,9,12,7,16,8,12,7,14,12,14,15,13,5,8,,7.07,16 (1),Not set,- - -,17,0,England,1637.0,22.51813826146475,0.48186173853524983,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Kalvin Langlet,26,74,Model Citizen,6608,194.5,2038-06-30,145000.0,49.5,England (Premier Division),English Premier Division,2033-08-26,39.5,8,14,14,14,16,17,9,11,10,15,9,15,13,15,16,11,16,15,14,13,15,14,7,8,2,9,14,9,12,17,6,13,14,9,4,10,,7.03,21,Not set,- - -,21,0,England,1272.0,24.639288158795345,1.3607118412046544,0.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bruno Meunier,26,73,Resilient,8249,194.0,2039-06-30,475000.0,67.0,England (Premier Division),English Premier Division,2035-01-01,50.0,8,13,17,17,10,16,15,8,14,9,12,17,9,15,17,15,16,16,13,12,16,16,9,16,12,17,13,9,4,6,10,4,16,14,11,10,,6.98,4 (13),Not set,- - -,17,0,England,1637.0,25.98904859685147,0.010951403148528405,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stéphane Gerard,26,68,Driven,8613,180.5,2039-06-30,250000.0,15.75,Germany (Bundesliga),Bundesliga,2034-12-06,11.5,11,13,9,15,13,13,15,12,16,10,12,14,13,18,17,14,6,15,13,13,16,17,11,16,17,14,13,12,6,9,10,6,17,11,4,16,,7.35,20,Not set,- - -,20,0,Germany,1637.0,25.917864476386036,0.08213552361396304,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabriel Silva,27,70,Driven,8635,174.5,2038-06-30,220000.0,30.5,Germany (Bundesliga),Bundesliga,2033-11-08,49.5,10,16,10,18,14,15,14,12,17,12,12,16,14,19,16,16,8,16,15,13,14,16,11,15,18,15,12,13,7,9,9,8,16,13,11,11,,7.24,18,Not set,- - -,18,0,Germany,1272.0,25.84188911704312,1.158110882956879,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Rafael,25,69,Resolute,6722,171.0,2039-06-30,205000.0,15.25,England (Premier Division),English Premier Division,2034-04-28,15.25,10,17,10,13,13,15,14,7,15,11,11,15,14,15,19,17,4,17,15,13,16,16,11,17,14,13,11,12,10,9,7,6,15,16,7,17,,7.30,25 (2),Not set,- - -,27,0,England,1637.0,24.310061601642712,0.6899383983572895,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jordi Suárez,24,71,Light-Hearted,7690,170.0,2038-06-30,195000.0,5.75,England (Premier Division),English Premier Division,2033-08-01,5.75,11,16,10,15,10,15,17,7,15,7,12,13,11,13,18,15,12,17,17,12,14,17,8,17,12,14,13,8,3,12,9,8,16,13,9,13,,7.03,26,Not set,- - -,26,0,England,1272.0,22.570841889117045,1.429158110882957,3.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Cristian Rodríguez,26,70,Professional,7784,168.0,2039-06-30,210000.0,4.2,England (Premier Division),English Premier Division,2034-08-12,5.25,16,17,12,16,11,16,18,6,19,10,12,18,14,15,18,17,7,16,15,15,16,13,9,18,12,16,12,13,5,8,14,8,18,15,7,13,,7.07,23 (3),Not set,- - -,26,0,England,1637.0,25.600273785078713,0.3997262149212868,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jeanuël Belocian,29,73,Fairly Determined,6268,167.5,2037-06-30,350000.0,19.75,Italy (Serie A),Italian Serie A,2033-07-14,14.5,12,16,11,13,17,16,12,11,13,15,13,13,12,15,15,15,15,15,14,15,14,14,7,11,6,14,12,11,9,14,6,14,14,13,7,11,Inj,7.08,22,Not set,- - -,22,0,Italy,907.0,27.521560574948666,1.4784394250513346,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Radu Drăguşin,32,75,Resolute,9020,178.0,2036-06-30,350000.0,53.0,Italy (Serie A),Italian Serie A,2034-05-20,90.0,14,15,14,13,15,14,11,13,11,15,12,11,13,15,15,15,16,16,15,15,15,16,6,11,7,15,16,7,12,17,6,16,14,14,6,12,,7.24,24,Not set,- - -,24,0,Italy,542.0,31.370294318959616,0.6297056810403833,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Shaqueel van Persie,28,74,Fairly Determined,8274,165.0,2038-06-30,175000.0,22.0,Germany (Bundesliga),Bundesliga,2034-01-07,17.75,8,13,7,16,8,15,14,7,15,9,10,13,12,15,15,14,16,15,13,13,15,15,10,15,13,16,13,11,2,6,7,4,15,13,10,14,,7.20,7 (10),Not set,- - -,17,0,Germany,1272.0,27.006160164271048,0.9938398357289527,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Antonio Nusa,29,71,Fairly Professional,8635,160.0,2037-06-30,275000.0,78.0,England (Premier Division),English Premier Division,2031-08-11,110.0,9,14,13,13,13,14,16,11,15,12,12,15,13,12,17,14,12,15,13,13,14,15,11,15,13,16,9,12,4,11,13,8,15,13,11,16,,7.45,13 (10),Not set,- - -,23,0,England,907.0,25.596851471594796,3.403148528405202,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Moses Mthembu,20,74,Perfectionist,7042,160.0,2039-06-30,105000.0,37.0,Italy (Serie A),Italian Serie A,2034-09-01,37.0,8,13,10,13,15,16,2,15,2,15,9,12,8,19,17,13,14,9,12,11,14,7,3,3,2,7,1,3,3,2,3,3,10,12,2,2,,7.11,15 (1),Not set,- - -,16,0,Italy,1637.0,19.655030800821354,0.34496919917864477,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Karim Konaté,30,70,Resolute,9271,157.5,2037-06-30,400000.0,117.0,England (Premier Division),English Premier Division,2034-03-05,94.0,15,16,16,15,12,15,12,12,16,11,12,16,14,17,18,15,5,16,15,15,13,18,9,15,18,15,13,12,6,10,8,8,14,12,12,12,,7.03,22,Not set,- - -,22,0,England,907.0,29.16221765913758,0.837782340862423,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdoulaye Bah,26,73,Perfectionist,8853,155.5,2039-06-30,230000.0,64.0,England (Premier Division),English Premier Division,2034-11-07,50.0,6,16,12,13,18,15,8,11,10,16,12,15,16,15,16,16,15,15,16,14,17,16,8,9,6,13,13,10,7,14,7,16,12,15,8,11,,7.04,27,Not set,- - -,27,0,England,1637.0,25.838466803559207,0.16153319644079397,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jorrel Hato,28,74,Fairly Professional,8855,166.5,2038-06-30,275000.0,69.0,Italy (Serie A),Italian Serie A,2033-08-27,50.0,13,15,14,16,16,16,13,14,13,16,14,13,13,14,15,15,16,14,14,14,16,14,10,11,7,12,12,12,13,14,7,14,14,12,9,15,,6.94,18 (4),Not set,- - -,22,0,Italy,1272.0,26.642026009582477,1.3579739904175223,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Aleix Menéndez,24,68,Model Professional,6423,163.5,2039-06-30,300000.0,37.5,Italy (Serie A),Italian Serie A,2034-09-01,27.0,14,16,8,14,10,13,17,10,15,8,11,14,14,20,20,15,2,15,16,10,17,16,12,16,13,14,8,11,5,11,13,2,16,16,4,16,,6.96,20 (1),Not set,- - -,21,0,Italy,1637.0,23.655030800821354,0.34496919917864477,5.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
