Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Cmd,Pun,TRO,Han,Thr,Ecc,Ref,Kic,1v1,Com,Aer,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Dri,Fir,Hea,Mar,Tck,Tec,Pas,Av Rat,Apps,Transfer Status,Inf,xGP/90,xGP,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_China,Country_Denmark,Country_England,Country_France,Country_Germany,Country_Greece,Country_Hungary,Country_Italy,Country_Japan,Country_Mexico,Country_Netherlands,Country_Norway,Country_Portugal,Country_Qatar,Country_Saudi Arabia,Country_Scotland,Country_Serbia,Country_Spain,Country_Sweden,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_nan
Camilo Arias,21,72,Resolute,6355,43.5,2039-06-30,33500.0,1.9,Italy (Serie A),Italian Serie A,2034-08-19,1.9,13,7,18,15,15,2,13,15,14,12,13,8,15,11,12,15,16,2,9,2,14,15,15,14,17,17,13,13,10,12,9,13,10,3,7,1,3,3,10,11,6.78,17,Not set,nEU,0.31,5.27,- - -,17,0,Italy,1637.0,20.619438740588638,0.3805612594113621,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Bart Verbruggen,32,76,Perfectionist,7601,34.0,2037-06-30,100000.0,11.5,England (Premier Division),English Premier Division,2034-01-21,25.5,15,14,12,13,14,6,13,16,15,15,17,8,12,14,15,12,13,12,14,2,13,13,17,12,14,12,14,17,12,12,10,12,12,11,13,5,3,1,14,16,6.65,19,Not set,Ask,-0.18,-3.11,- - -,19,0,England,907.0,31.044490075290895,0.9555099247091033,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mathieu Patouillet,30,74,Fairly Ambitious,4647,35.5,2038-12-31,19250.0,19.25,U.S.A. (MLS),Major League Soccer,2035-01-01,21.0,13,8,12,13,13,7,14,12,16,13,16,10,12,13,13,15,14,1,10,2,13,9,12,10,14,13,13,17,12,11,13,13,11,3,10,7,1,2,10,11,-,-,Not set,,-,-,- - -,0,0,U.S.A.,1456.0,29.98904859685147,0.010951403148528405,4.0,478.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False
Gavin Bazunu,32,74,Resolute,6296,35.0,2036-06-30,84000.0,16.5,England (Premier Division),English Premier Division,2032-08-12,34.5,15,9,11,16,16,4,16,15,17,13,15,8,13,12,13,12,14,8,11,12,13,12,15,11,15,13,14,16,12,13,12,13,12,1,12,7,3,1,11,14,7.27,5 (2),Not set,Wnt,0.34,2.21,- - -,7,0,England,542.0,29.60164271047228,2.3983572895277208,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Agustín Cañete,28,73,Resolute,4298,32.5,2038-06-30,70000.0,8.75,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-07-11,9.5,14,12,9,15,16,5,13,13,15,13,15,12,15,15,14,14,15,3,10,1,8,7,8,7,16,14,11,15,13,10,9,13,12,2,6,1,2,3,7,14,7.60,26 (1),Not set,,0.00,0.00,- - -,27,0,Saudi Arabia,1272.0,27.512662559890487,0.487337440109514,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Mads Hermansen,34,73,Fairly Professional,8900,32.0,2036-06-30,200000.0,46.5,Germany (Bundesliga),Bundesliga,2033-03-19,53.0,15,12,11,13,16,12,16,14,17,15,13,10,16,12,17,15,15,11,13,1,15,14,14,12,12,12,13,14,10,9,10,10,10,2,12,7,1,2,14,14,6.88,20,Not set,Wnt,0.04,0.85,- - -,20,0,Germany,542.0,32.20123203285421,1.7987679671457906,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Dennis Seimen,29,76,Driven,6839,31.0,2038-06-30,80000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-01-08,34.5,12,7,16,12,14,12,13,12,15,13,17,15,12,13,13,13,12,8,16,1,13,11,18,12,18,13,14,17,10,11,13,12,9,2,11,6,3,2,11,12,7.44,26,Not set,,0.00,0.00,- - -,26,0,Saudi Arabia,1272.0,28.00889801505818,0.9911019849418207,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Norberto Bedolla,29,72,Determined,7412,30.5,2039-06-30,48000.0,22.0,Spain (First Division),Spanish First Division,2034-08-08,49.5,12,13,14,15,15,5,15,14,15,14,12,11,14,15,13,10,15,1,13,2,13,7,13,8,18,11,12,11,10,6,10,13,12,3,6,1,1,2,5,15,6.71,17,Not set,,-0.20,-3.35,- - -,17,0,Spain,1637.0,28.589322381930184,0.4106776180698152,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Diego Castillo,19,73,Driven,4604,30.5,2039-06-30,30000.0,6.25,England (Premier Division),English Premier Division,2034-08-01,6.25,16,9,11,13,14,2,16,13,13,12,14,14,13,14,9,13,14,1,8,3,12,7,11,9,18,11,16,14,10,8,11,9,11,1,6,1,1,3,9,12,7.07,2 (1),Not set,,0.48,1.20,- - -,3,0,England,1637.0,18.57015742642026,0.42984257357973993,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Anatolii Trubin,33,78,Fairly Professional,9185,29.5,2035-06-30,135000.0,8.5,Portugal (Premier League),Portuguese Premier League,2029-06-11,8.5,14,6,13,15,14,3,15,14,16,14,19,7,15,14,15,16,13,5,10,3,16,11,15,13,12,15,12,18,11,12,13,14,12,1,13,7,2,3,13,16,7.16,18,Not set,Wnt,0.06,0.99,- - -,18,0,Portugal,176.0,27.431211498973305,5.568788501026694,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Tjark Ernst,31,76,Resolute,6613,26.0,2035-06-30,425000.0,35.5,Saudi Arabia (Saudi Pro League),Saudi Professional League,2031-07-16,35.5,13,10,16,12,16,8,16,13,16,14,16,8,12,14,12,13,13,7,14,1,15,11,13,12,15,14,14,16,10,12,13,15,10,1,11,6,2,1,11,13,7.44,22,Not set,,0.00,0.00,- - -,22,0,Saudi Arabia,176.0,27.525667351129364,3.4743326488706368,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Caner Etlik,26,75,Driven,6811,28.0,2038-06-30,54000.0,1.3,Germany (Bundesliga),Bundesliga,2034-08-15,2.2,14,16,7,13,15,1,15,15,16,13,16,8,14,10,12,15,14,1,14,2,16,9,11,12,18,14,11,17,8,11,13,14,10,3,11,1,1,2,11,12,6.48,16,Not set,Wnt,-0.52,-8.56,- - -,16,0,Germany,1272.0,25.60848733744011,0.3915126625598905,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Callan McKenna,28,74,Resolute,5933,27.0,2036-06-30,48500.0,23.5,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2032-07-10,38.5,14,12,11,12,17,12,12,16,17,13,15,6,15,16,17,14,14,10,9,10,13,7,13,9,15,15,14,17,13,15,15,13,9,8,12,5,2,7,11,14,6.23,3,Not set,,-0.62,-1.87,- - -,3,0,France,542.0,25.51129363449692,2.48870636550308,4.0,496.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Tomás Navarro,24,77,Light-Hearted,7158,24.0,2039-06-30,225000.0,14.0,England (Premier Division),English Premier Division,2034-07-11,23.0,13,7,9,13,16,2,14,14,15,13,14,8,15,14,12,14,12,1,10,2,15,9,12,9,16,16,11,15,12,11,12,15,12,3,12,1,1,1,12,12,6.43,20,Not set,,-0.32,-6.19,- - -,20,0,England,1637.0,23.512662559890487,0.487337440109514,3.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Spike Brits,27,75,Model Citizen,4273,24.5,2038-06-30,64000.0,15.0,England (Premier Division),English Premier Division,2034-01-31,13.75,13,5,16,12,15,10,14,12,17,13,17,13,15,13,12,16,13,2,10,3,13,8,12,11,17,14,13,16,12,13,13,12,15,2,11,1,1,1,11,14,6.58,24,Not set,,-0.29,-7.02,- - -,24,0,England,1272.0,26.071868583162217,0.9281314168377823,0.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hirokazu Momitani,26,75,Driven,4975,22.0,2038-06-30,19500.0,2.3,Germany (Bundesliga),Bundesliga,2034-07-17,2.3,14,12,11,14,15,4,15,12,16,14,15,9,12,11,8,11,14,1,10,1,11,11,15,9,18,16,15,16,9,10,13,12,11,1,5,1,3,2,6,14,6.99,23,Not set,Int,0.43,9.88,- - -,23,0,Germany,1272.0,25.529089664613277,0.47091033538672145,4.0,497.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Matěj Kovář,34,77,Resolute,8136,19.5,2036-06-30,160000.0,17.25,England (Premier Division),English Premier Division,2035-01-01,21.5,14,8,14,13,16,10,16,16,17,13,17,12,14,13,14,13,13,6,12,6,15,11,18,12,15,14,11,18,7,10,10,15,9,1,12,6,2,2,12,14,-,-,Listed,Lst,-,-,- - -,0,1,England,542.0,33.98904859685147,0.010951403148528405,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Froilan Díaz,28,75,Fairly Determined,4792,23.0,2039-06-30,78000.0,14.0,England (Premier Division),English Premier Division,2034-06-14,10.75,14,7,6,12,13,12,12,15,14,11,17,8,12,12,12,13,16,3,7,1,11,10,10,10,15,11,14,18,12,11,13,14,11,3,10,1,1,3,10,12,6.24,21,Not set,,-0.74,-14.06,- - -,21,0,England,1637.0,27.43874058863792,0.5612594113620808,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Filip Sidklev,29,73,Light-Hearted,5171,21.0,2038-06-30,88000.0,9.75,England (Sky Bet Championship),Sky Bet Championship,2034-07-27,14.0,14,6,11,12,13,7,15,12,16,12,13,7,16,11,14,15,14,3,10,1,15,10,14,11,15,13,13,16,12,12,13,12,12,6,10,1,1,3,9,10,6.74,25,Not set,,0.03,0.74,- - -,25,0,England,1272.0,28.5564681724846,0.44353182751540043,3.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jorge,28,73,Balanced,3540,20.5,2037-06-30,28000.0,4.5,England (Sky Bet Championship),Sky Bet Championship,2034-07-01,3.8,15,11,15,14,10,9,14,13,14,13,15,5,13,14,13,13,16,1,12,3,15,6,10,6,13,10,12,15,13,8,10,11,10,2,9,1,2,2,5,8,6.84,27,Not set,,0.23,6.27,- - -,27,0,England,907.0,27.485284052019164,0.5147159479808351,3.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lucas Auger,26,73,Resolute,5006,20.25,2039-06-30,68000.0,12.0,Portugal (Premier League),Portuguese Premier League,2034-09-01,15.0,15,14,11,13,14,2,14,13,17,16,15,11,12,7,13,15,14,3,10,2,15,5,12,10,15,13,13,15,13,12,11,16,14,2,8,1,2,3,8,12,6.84,18,Not set,,0.12,2.08,- - -,18,0,Portugal,1637.0,25.655030800821354,0.34496919917864477,4.0,494.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Isaac Onah,26,76,Resolute,6763,22.0,2038-06-30,59000.0,36.5,Italy (Serie A),Italian Serie A,2034-07-21,45.5,13,12,9,14,15,10,15,9,15,13,17,11,13,11,10,12,14,2,7,3,12,12,18,10,15,15,13,17,14,9,10,15,12,1,10,1,3,1,9,12,6.81,6 (1),Not set,nEU,0.33,2.07,- - -,7,0,Italy,1272.0,25.540041067761805,0.459958932238193,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Håkon Arne Dragland Råum,19,73,Fairly Professional,1459,21.25,2038-06-30,13250.0,5.25,Italy (Serie A),Italian Serie A,2034-07-18,3.9,12,8,7,14,10,3,14,11,12,12,11,18,10,14,9,11,13,2,11,1,10,8,9,11,13,15,15,13,11,8,8,12,8,2,5,1,1,2,3,10,-,-,Not set,Loa,-,-,- - -,0,0,Italy,1272.0,18.531827515400412,0.4681724845995893,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Diogo Costa,35,73,Model Professional,9074,21.25,2035-06-30,230000.0,54.0,England (Premier Division),English Premier Division,2032-01-28,54.0,15,8,13,15,17,7,16,18,18,15,14,14,16,14,16,16,15,11,12,3,15,13,16,14,14,12,12,14,10,8,10,15,9,1,12,4,3,1,14,14,6.92,24,Not set,Bid,0.16,3.56,- - -,24,0,England,176.0,32.06228610540725,2.937713894592745,5.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Gabriel Słonina,30,76,Model Citizen,7602,21.25,2037-06-30,69000.0,20.5,Italy (Serie A),Italian Serie A,2033-07-01,30.0,13,8,7,12,14,6,15,12,16,14,15,7,13,13,15,14,11,1,13,1,14,13,14,12,18,14,13,18,11,14,14,15,13,3,10,2,2,2,11,10,6.57,18,Not set,Wnt,0.12,2.11,- - -,18,0,Italy,907.0,28.48596851471595,1.514031485284052,0.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nico Mantl,34,76,Fairly Ambitious,5962,19.25,2036-06-30,140000.0,23.0,Saudi Arabia (Saudi Pro League),Saudi Professional League,2032-10-06,33.5,14,11,13,13,15,7,14,12,16,13,15,8,12,15,12,12,12,7,10,5,17,12,12,13,14,10,14,16,9,12,10,14,8,5,9,6,7,9,9,14,7.58,26,Not set,Wnt,0.00,0.00,- - -,26,0,Saudi Arabia,542.0,31.752224503764545,2.2477754962354553,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Sebastian Foster,20,74,Fairly Determined,2971,21.0,2038-06-30,14250.0,7.75,Belgium (Jupiler Pro League),Jupiler Pro League,2034-01-18,5.75,12,13,12,14,12,6,14,11,12,12,14,7,16,11,10,17,14,3,12,2,15,11,13,8,15,16,13,10,13,11,10,10,11,2,8,1,3,2,6,8,7.00,7,Not set,,0.45,3.18,- - -,7,0,Belgium,1272.0,19.0362765229295,0.9637234770704997,4.0,491.0,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Soslan Veselov,21,76,Fairly Determined,3641,19.0,2037-06-30,34500.0,4.8,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-09-01,4.8,14,9,10,12,15,5,12,15,16,14,16,17,9,9,12,13,15,3,15,1,13,9,11,12,15,13,14,15,10,12,12,13,8,1,8,1,3,1,8,13,7.07,22 (1),Not set,,0.00,0.00,- - -,23,0,Saudi Arabia,907.0,20.655030800821354,0.34496919917864477,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False
Max Schmitt,28,75,Spirited,5519,17.75,2037-06-30,22000.0,4.6,Germany (Bundesliga 2),Bundesliga 2,2032-07-25,7.25,13,10,10,12,15,8,13,12,16,13,17,8,12,13,14,14,12,6,11,1,15,10,12,11,13,14,14,18,9,11,12,15,9,3,9,5,1,1,9,13,7.00,21,Not set,,0.30,5.42,- - -,21,0,Germany,907.0,25.5523613963039,2.4476386036960984,4.0,464.0,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
José Carrasco,26,73,Resolute,5026,16.0,2039-06-30,53000.0,2.1,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-06-30,3.7,11,7,16,12,17,2,15,13,17,10,15,10,9,12,12,12,14,1,6,3,14,15,11,11,15,17,12,15,10,13,11,13,12,1,11,1,2,2,10,13,6.89,23,Not set,,0.07,1.62,- - -,23,0,France,1637.0,25.482546201232033,0.5174537987679672,4.0,496.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Reshane Hoston,27,74,Resolute,3870,16.75,2037-06-30,57000.0,6.5,England (Sky Bet Championship),Sky Bet Championship,2034-09-20,8.0,15,16,8,15,15,17,14,12,13,13,16,6,15,13,10,14,12,2,10,3,15,10,18,12,16,13,16,16,10,12,9,14,9,1,8,1,3,3,11,11,6.77,26,Not set,Wnt,0.02,0.43,- - -,26,0,England,907.0,26.707049965776864,0.2929500342231348,4.0,480.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lucas Lavagnino,30,75,Resolute,5326,14.75,2036-12-31,19000.0,3.6,Brazil (First Division),Brazilian National First Division,2033-09-28,2.9,9,10,10,12,14,5,13,14,14,12,14,15,12,16,10,13,14,2,8,3,14,8,14,8,15,16,11,17,14,8,9,15,11,1,9,1,3,1,11,10,-,-,Not set,,-,-,- - -,0,0,Brazil,726.0,28.729637234770706,1.270362765229295,4.0,493.0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Felipe,25,76,Resolute,3780,14.5,2038-06-30,71000.0,13.5,Qatar (Stars League),Qatar Stars League,2034-07-03,12.25,13,8,10,12,14,17,15,14,15,11,18,10,15,9,10,14,13,3,6,2,15,6,15,7,15,14,16,17,12,11,12,12,12,2,6,1,2,1,9,12,7.16,10,Not set,Inj,0.00,0.00,- - -,10,0,Qatar,1272.0,24.49075975359343,0.5092402464065708,4.0,472.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False
André Moreira,28,75,Resolute,4057,14.5,2038-06-30,25500.0,3.2,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-07-13,2.6,13,10,9,11,14,11,13,12,15,13,18,7,13,9,12,12,13,8,9,6,13,11,13,12,15,14,15,17,11,13,14,14,12,2,10,4,3,2,9,11,6.82,16,Not set,,0.46,7.29,- - -,16,0,France,1272.0,27.51813826146475,0.48186173853524983,4.0,496.0,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Filip Jörgensen,32,74,Balanced,8554,14.25,2036-06-30,145000.0,92.0,Spain (First Division),Spanish First Division,2031-01-07,92.0,16,13,14,15,15,6,17,13,16,12,16,13,13,14,12,12,12,1,10,3,17,13,13,12,3,13,11,16,11,13,14,15,9,3,14,7,3,1,12,14,7.41,3 (3),Not set,Wnt,0.34,1.36,- - -,6,0,Spain,542.0,28.005475701574262,3.994524298425736,3.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False
Leandro Gonçalves,25,71,Fickle,4369,13.75,2038-06-30,71000.0,20.5,Italy (Serie A),Italian Serie A,2034-07-30,21.0,12,6,6,16,14,6,13,11,15,10,12,10,11,17,12,11,14,2,13,2,13,15,12,12,16,16,11,11,6,11,12,9,11,3,6,1,1,2,7,14,7.20,4 (1),Not set,,-0.02,-0.09,- - -,5,0,Italy,1272.0,24.564681724845997,0.4353182751540041,2.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Zion Suzuki,32,75,Fairly Professional,6399,13.5,2036-06-30,75000.0,11.5,England (Premier Division),English Premier Division,2032-04-13,21.5,13,5,12,13,14,13,15,13,16,14,15,10,13,12,13,12,12,7,12,4,14,9,13,12,12,13,15,17,10,11,16,13,12,8,9,7,8,10,11,12,6.28,21,Not set,,-0.39,-8.24,- - -,21,0,England,542.0,29.270362765229294,2.729637234770705,4.0,500.0,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
