Name,Age,Height,Personality,WR,Transfer Value,Expires,Wage,Last Trans. Fee,Based,Division,Begins,Transfer Fees Received,Agg,Ant,Bra,Cmp,Cnt,Dec,Fla,Ldr,OtB,Pos,Tea,Vis,Wor,Det,Agi,Bal,Jum,Pac,Sta,Str,Nat,Acc,Cor,Dri,Fin,Fir,Hea,Lon,L Th,Mar,Fre,Tck,Tec,Pas,Pen,Cro,Inf,Av Rat,Apps,Transfer Status,Rec,Total Apps,Transfer_Status_bool,Country,Days Until Expiry,Age_at_Signing,Years_at_Club,Personality_Tier,Division_Rank,Country_Algeria,Country_Angola,Country_Argentina,Country_Australia,Country_Austria,Country_Belgium,Country_Brazil,Country_Cape Verde,Country_Chile,Country_China,Country_Colombia,Country_Costa Rica,Country_Croatia,Country_DR Congo,Country_Denmark,Country_Ecuador,Country_England,Country_Eq. Guinea,Country_France,Country_Germany,Country_Ghana,Country_Greece,Country_Iran,Country_Ireland,Country_Israel,Country_Italy,Country_Japan,Country_Mexico,Country_Morocco,Country_Netherlands,Country_Nigeria,Country_Norway,Country_Paraguay,Country_Poland,Country_Portugal,Country_Qatar,Country_Romania,Country_Russia,Country_Saudi Arabia,Country_Scotland,Country_Senegal,Country_Slovenia,Country_South Africa,Country_Spain,Country_Sweden,Country_Switzerland,Country_Thailand,Country_Türkiye,Country_U.A.E.,Country_U.S.A.,Country_Ukraine,Country_Uruguay,Country_Venezuela,Country_nan
Dejan Kulusevski,34,73,Spirited,9381,,2036-06-30,475000.0,53.0,Italy (Serie A),Italian Serie A,2035-01-02,157.0,7,16,8,15,13,16,16,7,16,9,14,16,15,15,13,15,11,11,14,13,15,12,13,14,12,17,6,11,3,6,12,8,17,18,12,13,,7.09,21 (1),Not set,- - -,22,0,Italy,542.0,33.9917864476386,0.008213552361396304,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Yeremy Pino,32,68,Professional,9336,,2036-06-30,300000.0,94.0,England (Premier Division),English Premier Division,2034-03-11,71.0,12,14,11,13,14,14,17,5,14,10,12,15,12,14,18,16,5,14,14,11,15,15,12,15,13,16,9,12,10,10,9,9,16,14,13,17,,7.23,23,Not set,- - -,23,0,England,542.0,31.17864476386037,0.8213552361396304,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Mykhaylo Mudryk,34,69,Resolute,9334,,2036-06-30,325000.0,57.0,England (Premier Division),English Premier Division,2034-09-29,118.0,6,13,12,14,12,14,17,10,17,14,12,16,16,16,18,16,6,16,12,15,13,15,13,14,15,15,6,12,7,12,15,8,13,15,12,18,,7.17,18,Not set,- - -,18,0,England,542.0,33.73169062286105,0.2683093771389459,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Nico Williams,32,71,Resolute,9311,,2036-06-30,240000.0,43.0,England (Premier Division),English Premier Division,2034-10-01,43.0,13,15,13,14,12,15,13,12,16,13,12,16,14,17,18,14,11,15,14,15,12,15,9,12,13,16,12,11,7,10,8,10,16,14,13,16,,7.24,21 (1),Not set,- - -,22,0,England,542.0,31.737166324435318,0.26283367556468173,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Noah Darvich,28,72,Professional,9295,219.0,2038-06-30,525000.0,2.1,Spain (First Division),Spanish First Division,2033-08-06,2.1,8,15,9,17,14,15,17,15,16,12,12,17,12,14,17,15,13,16,14,14,16,16,15,16,13,16,9,13,6,12,16,8,16,16,14,14,,7.83,20,Not set,- - -,20,0,Spain,1272.0,26.584531143052704,1.4154688569472964,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Rodrygo,33,69,Fairly Professional,9285,,2036-06-30,130000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2034-11-28,39.5,11,13,14,14,13,14,15,14,16,10,12,13,14,14,15,14,7,11,11,9,13,10,11,15,17,15,11,13,7,6,14,5,15,14,12,13,,7.43,24,Not set,- - -,24,0,Saudi Arabia,542.0,32.89596167008898,0.10403832991101986,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Emili Artiga,26,69,Determined,9240,241.5,2039-06-30,325000.0,84.0,England (Premier Division),English Premier Division,2034-05-02,84.0,16,15,9,13,10,14,17,7,15,10,10,14,13,19,20,16,6,16,16,12,18,18,12,16,12,14,13,8,6,7,11,6,15,13,5,15,,7.61,24 (1),Not set,- - -,25,0,England,1637.0,25.32101300479124,0.6789869952087612,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Jérémy Doku,32,67,Fairly Ambitious,9187,87.5,2036-06-30,350000.0,18.75,Spain (First Division),Spanish First Division,2034-03-07,86.0,14,12,15,14,13,12,16,8,15,10,13,12,14,12,17,15,7,15,13,11,16,16,12,15,13,15,5,8,4,6,11,7,16,15,15,16,Wnt,7.30,19,Not set,- - -,19,0,Spain,542.0,31.16769336071184,0.8323066392881588,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Sávio,30,69,Spirited,9130,119.5,2036-06-30,525000.0,,England (Premier Division),English Premier Division,2033-01-01,5.5,8,16,10,14,14,14,18,6,17,8,12,17,13,15,20,16,10,16,13,10,14,17,13,17,11,16,5,10,12,8,15,5,17,14,11,16,,7.07,18,Not set,- - -,18,0,England,542.0,27.99041752224504,2.0095824777549622,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Lucas Daguerre,26,63,Resolute,9072,199.5,2039-06-30,400000.0,64.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-08-11,89.0,7,13,15,13,10,15,16,14,16,10,14,14,16,16,19,18,3,15,16,10,13,15,9,15,13,16,9,10,6,8,7,3,17,15,6,16,,7.45,21,Not set,- - -,21,0,France,1637.0,25.59753593429158,0.4024640657084189,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Félix,35,70,Ambitious,8990,0.55,2035-05-31,39500.0,,Scotland (cinch Premiership),cinch Premiership,2034-06-22,159.0,11,15,9,19,11,16,20,8,19,8,10,17,8,13,13,9,6,6,5,3,14,9,11,11,13,18,9,13,3,4,11,5,16,15,15,12,Ret,7.09,9 (7),Not set,- - -,16,0,Scotland,146.0,34.460643394934976,0.5393566050650239,4.0,486.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Exequiel Giménez,26,67,Spirited,8965,215.5,2039-06-30,450000.0,6.25,England (Premier Division),English Premier Division,2034-11-16,6.25,12,15,10,14,11,14,17,16,14,12,14,14,11,15,19,15,4,14,15,10,14,15,5,12,15,15,9,10,8,7,8,5,14,11,8,15,,7.20,24,Not set,- - -,24,0,England,1637.0,25.863107460643395,0.13689253935660506,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Paul Wanner,29,73,Fairly Ambitious,8910,129.5,2037-06-30,175000.0,54.0,Italy (Serie A),Italian Serie A,2033-02-28,56.0,8,15,10,17,14,14,17,9,16,13,13,17,13,13,17,15,15,15,13,12,13,14,13,13,11,15,8,12,9,11,16,8,17,16,11,14,,7.37,20,Not set,- - -,20,0,Italy,907.0,27.1492128678987,1.8507871321013005,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Joshua Zirkzee,33,76,Fairly Ambitious,8834,39.5,2036-06-30,250000.0,87.0,Italy (Serie A),Italian Serie A,2034-12-27,138.0,13,16,12,14,13,16,19,11,16,12,16,16,12,12,12,12,14,13,12,13,14,12,6,15,14,16,12,12,3,6,15,9,18,16,11,12,,7.18,7 (9),Not set,- - -,16,0,Italy,542.0,32.97535934291581,0.024640657084188913,4.0,498.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Arda Güler,29,70,Very Ambitious,8794,56.5,2037-06-30,225000.0,17.25,Spain (First Division),Spanish First Division,2033-02-25,17.25,14,17,11,19,12,14,17,14,14,11,16,17,14,16,16,15,6,10,14,10,16,15,16,16,12,17,12,17,8,11,16,8,19,17,15,17,,6.98,7 (4),Not set,- - -,11,0,Spain,907.0,27.140999315537304,1.8590006844626967,4.0,499.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False
Ferran Torres,34,72,Resolute,8741,10.55,2035-06-30,140000.0,49.0,France (Ligue 1 Uber Eats),Ligue 1 Uber Eats,2034-01-06,118.0,10,14,12,14,14,14,15,11,16,9,12,15,13,16,13,16,13,12,11,11,16,12,9,13,15,16,10,11,6,8,12,8,15,13,13,14,,7.15,4 (8),Not set,- - -,12,0,France,176.0,33.00342231348392,0.9965776865160849,4.0,496.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Facundo Buonanotte,30,69,Fairly Professional,8690,135.5,2037-06-30,195000.0,5.0,England (Premier Division),English Premier Division,2033-07-04,6.0,12,14,13,14,15,12,14,13,16,10,12,13,15,11,17,16,5,14,15,12,14,15,12,15,13,14,10,14,9,11,11,10,13,14,12,14,,6.93,18 (1),Not set,- - -,19,0,England,907.0,28.494182067077343,1.5058179329226558,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdullah Al-Shamrani,24,70,Driven,8690,194.5,2037-06-30,195000.0,79.0,Germany (Bundesliga),Bundesliga,2032-07-11,73.0,10,16,8,18,12,17,17,13,16,9,12,16,12,18,15,16,7,14,16,16,18,13,11,15,16,16,13,13,8,11,13,6,16,15,11,12,Int,7.33,20 (1),Not set,- - -,21,0,Germany,907.0,21.51403148528405,2.485968514715948,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Antonio Nusa,29,71,Fairly Professional,8635,160.0,2037-06-30,275000.0,78.0,England (Premier Division),English Premier Division,2031-08-11,110.0,9,14,13,13,13,14,16,11,15,12,12,15,13,12,17,14,12,15,13,13,14,15,11,15,13,16,9,12,4,11,13,8,15,13,11,16,,7.45,13 (10),Not set,- - -,23,0,England,907.0,25.596851471594796,3.403148528405202,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Hermann Soré,24,72,Professional,8633,77.5,2037-06-30,165000.0,13.75,England (Premier Division),English Premier Division,2032-09-13,11.0,7,11,7,12,9,13,14,15,15,8,10,11,10,16,19,15,14,16,14,12,13,16,13,16,15,13,9,10,7,8,10,3,14,13,12,16,,7.26,19,Not set,- - -,19,0,England,907.0,21.689253935660506,2.3107460643394937,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Samuel Lino,35,70,Spirited,8616,0.5,2035-06-30,175000.0,35.5,England (Premier Division),English Premier Division,2033-04-01,41.0,12,12,13,12,11,13,14,8,13,10,10,13,15,15,14,13,10,11,11,14,17,12,8,12,14,15,5,12,6,8,8,10,15,13,12,14,Ret,6.70,0 (5),Listed,- - -,5,1,England,176.0,33.23682409308692,1.7631759069130732,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Stéphane Gerard,26,68,Driven,8613,180.5,2039-06-30,250000.0,15.75,Germany (Bundesliga),Bundesliga,2034-12-06,11.5,11,13,9,15,13,13,15,12,16,10,12,14,13,18,17,14,6,15,13,13,16,17,11,16,17,14,13,12,6,9,10,6,17,11,4,16,,7.35,20,Not set,- - -,20,0,Germany,1637.0,25.917864476386036,0.08213552361396304,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Abdul Fatawu,30,70,Ambitious,8601,20.0,2036-06-30,190000.0,73.0,England (Premier Division),English Premier Division,2030-08-07,105.0,12,14,10,13,12,12,14,14,13,10,10,16,13,12,19,14,7,15,12,12,13,16,13,15,12,13,6,15,8,8,11,6,16,14,5,14,Inj,7.02,20 (1),Not set,- - -,21,0,England,542.0,25.586584531143053,4.413415468856948,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Karim Adeyemi,32,71,Fairly Determined,8582,28.0,2036-06-30,145000.0,0.0,Germany (Bundesliga),Bundesliga,2034-10-05,34.5,16,12,12,13,11,13,14,5,14,7,11,11,15,16,15,9,12,17,10,10,13,16,13,13,14,13,9,8,6,7,9,9,14,12,13,12,Wnt,6.63,1 (5),Listed,- - -,6,1,Germany,542.0,31.748117727583846,0.2518822724161533,4.0,497.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Michael Olise,33,72,Ambitious,8580,20.5,2035-06-30,900000.0,21.5,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-07-17,25.5,6,13,9,15,12,16,16,11,14,11,13,17,14,12,15,14,12,12,10,10,14,13,14,14,14,16,6,13,3,10,16,9,15,15,14,17,,7.93,24,Not set,- - -,24,0,Saudi Arabia,176.0,31.529774127310063,1.4702258726899384,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
João Rêgo,29,72,Resolute,8580,57.0,2037-06-30,235000.0,53.0,England (Premier Division),English Premier Division,2033-01-21,39.0,10,14,13,15,13,14,17,9,15,11,11,16,12,16,17,13,13,13,13,11,15,15,14,15,13,14,8,12,7,10,13,6,16,14,11,14,,7.20,15 (8),Not set,- - -,23,0,England,907.0,27.04517453798768,1.9548254620123204,4.0,500.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
Moussa Diaby,35,67,Fairly Ambitious,8567,0.6599999999999999,2035-06-30,145000.0,,Saudi Arabia (Saudi Pro League),Saudi Professional League,2033-10-04,60.0,16,13,8,13,12,12,16,5,14,9,12,15,13,12,11,12,5,13,5,4,16,12,13,12,14,14,4,13,4,6,11,6,16,12,11,14,Ret,6.77,22 (2),Not set,- - -,24,0,Saudi Arabia,176.0,33.7460643394935,1.2539356605065024,4.0,476.0,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
